name,seed,reward,acc,delay,energy,backlog,vio,ms_per_slot,decision_ms,select_ms,comm_ms,bcd_ms,update_ms,comm_uplink_B,comm_downlink_B,comm_rounds,sec
causal,0,6.8432,0.229063,1.76905,0.656326,21335.4,0.234667,30.3024,1.707,0.876325,5.928,22.6674,0.830675,200,416,1,11.3763
causal,1,6.84403,0.234923,1.98047,0.510323,25629.8,0.249,29.6722,1.61494,0.825827,5.928,22.1292,0.789113,200,416,1,11.0926
causal,2,6.89827,0.235402,1.91115,0.58453,23162.5,0.252333,31.2216,1.68769,0.857578,5.928,23.606,0.830112,200,416,1,11.6528
causal,3,6.57808,0.22668,2.05766,0.570252,25385.4,0.290667,30.4417,1.99634,1.15183,5.928,22.5173,0.844515,200,416,1,11.4832
causal,4,4.91534,0.223584,2.4094,1.25343,27316.3,0.541667,31.8241,1.86636,1.02913,5.928,24.0298,0.837227,200,416,1,12.0055
ucb,0,6.11093,0.216873,2.63809,0.712664,36499.7,0.282,31.0782,3.16322,2.99753,3.24,24.675,0.165687,120,160,1,13.2206
ucb,1,6.29506,0.222613,2.54792,0.488209,35468.9,0.248667,31.141,3.20549,3.00513,3.24,24.6955,0.200364,120,160,1,13.5566
ucb,2,5.74224,0.227059,2.76619,0.619713,33040.2,0.410333,43.8491,4.55699,4.28319,3.24,36.0521,0.273796,120,160,1,20.1101
ucb,3,6.25366,0.214815,1.93025,0.533655,26538.2,0.245333,111.24,81.6805,81.4607,3.24,26.3193,0.219823,120,160,1,38.562
ucb,4,4.11365,0.210677,4.00731,1.18441,41112.9,0.572,55.9108,6.80894,6.23311,3.24,45.8619,0.57583,120,160,1,26.3389
dts,0,5.37059,0.227213,3.09024,0.712022,31444.9,0.456333,32.072,3.39419,3.16024,4.24,24.4378,0.233952,120,160,2,13.4381
dts,1,6.00413,0.222728,4.93305,0.53016,85494,0.347333,28.8958,2.60858,2.46021,4.24,22.0472,0.148372,120,160,2,12.2106
dts,2,6.12,0.20747,2.09207,0.597748,23297.2,0.312667,27.9028,2.54149,2.39001,4.24,21.1214,0.15148,120,160,2,11.6445
dts,3,5.80852,0.213707,2.2116,0.598922,23908.4,0.381333,28.3033,2.65207,2.49582,4.24,21.4112,0.156248,120,160,2,11.8459
dts,4,3.87183,0.220613,3.41565,1.1993,35051.2,0.667333,26.3991,2.75286,2.61379,4.24,19.4062,0.139067,120,160,2,11.3419
gdo,0,3.70148,0.256649,20.1447,0.705739,345768,0.761667,27.3954,0.10672,0.10672,5.16,22.1287,0,320,200,1,6.74336
gdo,1,4.00337,0.258559,16.7157,0.530763,293916,0.732667,24.174,0.0964578,0.0964578,5.16,18.9176,0,320,200,1,5.76909
gdo,2,3.7711,0.256996,20.2191,0.591829,356185,0.745667,24.7098,0.0964634,0.0964634,5.16,19.4533,0,320,200,1,5.92891
gdo,3,4.17416,0.257378,12.7653,0.584072,213427,0.697,26.1127,0.101262,0.101262,5.16,20.8514,0,320,200,1,6.35676
gdo,4,2.53794,0.256091,19.9285,1.1382,356073,0.894667,26.9925,0.107336,0.107336,5.16,21.7251,0,320,200,1,6.62185
rss,0,2.78501,0.212881,96.4506,0.798996,787088,0.881,23.3187,0.00498692,0.00498692,3.24,20.0737,0,120,160,1,6.08221
rss,1,3.94475,0.213952,57.5953,0.620334,696950,0.592,23.5173,0.00467618,0.00467618,3.24,20.2726,0,120,160,1,6.13848
rss,2,3.70176,0.213137,24.646,0.900398,420729,0.677,30.1076,0.00489314,0.00489314,3.24,26.8627,0,120,160,1,8.1178
rss,3,2.98112,0.224872,52.8072,0.754973,438973,0.993667,22.7171,0.00456254,0.00456254,3.24,19.4725,0,120,160,1,5.89944
rss,4,2.6988,0.211278,16.6455,1.46596,170054,0.816333,23.5078,0.00483195,0.00483195,3.24,20.263,0,120,160,1,6.13742
dqn,0,4.02476,0.225644,5.4762,0.794945,58843.8,0.671,50.4224,21.6694,0.5117,5.48,23.273,21.1577,360,200,1,14.2531
dqn,1,4.23243,0.223368,5.8871,0.642,69996.1,0.629333,49.0673,21.1503,0.4578,5.48,22.437,20.6925,360,200,1,13.1546
dqn,2,4.05245,0.226384,5.95424,0.74683,63770.5,0.695667,49.0674,21.3377,0.4582,5.48,22.2497,20.8795,360,200,1,13.1533
dqn,3,3.93756,0.226674,7.19726,0.753141,91341.3,0.706667,49.669,21.2702,0.4705,5.48,22.9188,20.7997,360,200,1,13.3349
dqn,4,1.75573,0.226397,7.44141,1.66447,84020.4,0.833667,50.5374,21.5281,0.4731,5.48,23.5293,21.055,360,200,1,13.6174
ppo,0,3.53021,0.225066,7.29518,0.802809,78674.8,0.750667,28.9357,1.70193,0.6742,5.48,21.7537,1.02773,360,200,1,7.10597
ppo,1,3.66592,0.227266,6.72277,0.671293,71290.9,0.723667,29.4207,1.6365,0.655417,5.48,22.3042,0.981083,360,200,1,7.25164
ppo,2,3.1527,0.227526,11.1912,0.781096,137156,0.809667,28.7715,1.58748,0.631321,5.48,21.704,0.956159,360,200,1,7.05607
ppo,3,3.48356,0.227915,6.92779,0.750772,73620.9,0.753,28.9054,1.66344,0.65299,5.48,21.762,1.01045,360,200,1,7.09751
ppo,4,1.22884,0.226685,10.4714,1.68262,123243,0.861333,29.184,1.64993,0.66484,5.48,22.054,0.98509,360,200,1,7.182
mappo,0,3.28826,0.227532,9.67668,0.814662,112939,0.779,25.6967,0.561876,0.247701,3.24,21.8948,0.314175,120,160,1,6.80604
mappo,1,3.94311,0.225571,5.80054,0.663353,60743,0.685333,25.5695,0.550885,0.24558,3.24,21.7786,0.305305,120,160,1,6.76606
mappo,2,3.74521,0.222748,5.3399,0.746335,54019.2,0.718333,25.573,0.560269,0.250133,3.24,21.7727,0.310136,120,160,1,6.76896
mappo,3,3.43655,0.227015,7.74777,0.742812,87009,0.772667,25.1815,0.550726,0.245801,3.24,21.3908,0.304925,120,160,1,6.65013
mappo,4,1.10932,0.228239,10.8052,1.71276,127680,0.892,26.011,0.571942,0.253534,3.24,22.199,0.318408,120,160,1,6.90071
cto,0,5.63299,0.197614,1.80061,0.711774,14506.6,0.316333,60.4017,31.2305,31.0199,6.48,22.6912,0.210644,360,200,2,16.2492
cto,1,6.05707,0.200316,1.78221,0.571379,15711.7,0.246,61.5075,31.0401,30.8241,6.48,23.9873,0.215997,360,200,2,16.5802
cto,2,5.73414,0.198926,1.811,0.658878,15432,0.367667,64.2153,32.3733,32.1449,6.48,25.362,0.228449,360,200,2,17.3957
cto,3,5.61006,0.197347,1.92157,0.639056,17137.7,0.35,70.8597,36.7611,36.4844,6.48,27.6186,0.276671,360,200,2,19.4016
cto,4,4.47787,0.193702,1.57145,1.46288,13911.5,0.508333,63.8264,32.7032,32.3872,6.48,24.6432,0.315955,360,200,2,17.284
