name,seed,reward,acc,lat,vio,backlog,cum_reward_final,final_backlog,sec,ms_per_slot,decision_s,update_s
causal,0,2.1817,0.2022,0.7758,0.1917,8345.6,2.1817,12908.3,14.7,25.435,4.257,0.830
causal,1,1.6315,0.2006,0.6935,0.3100,7615.6,1.6315,5210.0,13.6,23.699,4.065,0.675
causal,2,2.3203,0.2023,0.6923,0.0183,8687.7,2.3203,7488.3,14.1,23.087,4.125,0.492
causal,3,1.8225,0.2034,0.7162,0.3025,9097.4,1.8225,6420.0,13.2,22.489,4.023,0.475
causal,4,1.9684,0.2038,0.6803,0.3067,8840.2,1.9684,13691.1,13.5,22.458,4.012,0.480
ucb,0,1.6351,0.2077,0.9894,0.1275,7939.6,1.6351,20930.0,60.7,259.372,51.864,0.011
ucb,1,1.3682,0.1669,0.8597,0.2317,4522.1,1.3682,1345.5,53.3,231.236,46.237,0.010
ucb,2,1.7525,0.2018,0.8695,0.0950,7875.8,1.7525,1000.0,52.0,214.803,42.949,0.011
ucb,3,1.2593,0.1838,0.9977,0.1917,6655.3,1.2593,6953.3,61.5,262.774,52.539,0.016
ucb,4,1.6832,0.1865,0.7217,0.1100,7524.4,1.6832,3000.0,55.4,234.537,46.897,0.010
dts,0,1.8013,0.2041,1.0251,0.2692,9078.1,1.8013,21681.7,55.9,234.963,46.982,0.010
dts,1,1.3149,0.2087,1.1254,0.3950,9493.2,1.3149,27591.5,57.2,246.387,49.267,0.010
dts,2,1.9057,0.2040,0.9236,0.1192,8247.0,1.9057,5081.7,51.6,213.441,42.678,0.010
dts,3,1.1374,0.2052,1.1329,0.3917,8977.4,1.1374,1000.0,48.5,200.815,40.151,0.012
dts,4,1.3668,0.2004,1.0776,0.3817,8069.5,1.3668,2000.0,53.8,227.064,45.401,0.012
gdo,0,1.2715,0.2622,2.1346,0.3042,26148.2,1.2715,24691.0,8.9,0.113,0.023,0.000
gdo,1,1.1640,0.2627,2.6218,0.3117,38697.2,1.1640,72743.8,8.8,0.110,0.022,0.000
gdo,2,1.3005,0.2612,2.1569,0.3550,29418.9,1.3005,7737.7,8.4,0.108,0.022,0.000
gdo,3,1.1889,0.2613,2.1472,0.2942,29176.0,1.1889,29866.2,8.7,0.109,0.022,0.000
gdo,4,1.1637,0.2615,2.3853,0.3292,34491.2,1.1637,35623.9,8.4,0.107,0.021,0.000
rss,0,0.5967,0.2021,1.9093,0.6208,9889.9,0.5967,7615.0,7.0,0.004,0.001,0.000
rss,1,-0.4248,0.2059,3.1193,0.9425,21649.2,-0.4248,23937.9,6.9,0.004,0.001,0.000
rss,2,0.6220,0.2166,11.3001,0.5042,120066.2,0.6220,289103.2,6.9,0.003,0.001,0.000
rss,3,0.1996,0.2330,18.7787,0.9717,141457.3,0.1996,291470.4,7.4,0.003,0.001,0.000
rss,4,0.7364,0.1881,0.8394,0.5658,5270.3,0.7364,8000.4,10.1,0.004,0.001,0.000
dqn,0,1.3097,0.2305,2.0174,0.5475,17502.0,1.3097,17790.0,10.7,3.860,0.026,0.746
dqn,1,0.8819,0.2286,2.2479,0.6817,20916.1,0.8819,35573.5,8.9,3.655,0.011,0.720
dqn,2,1.3468,0.2265,2.1259,0.4717,18698.7,1.3468,1000.0,10.0,4.129,0.010,0.815
dqn,3,0.7673,0.2308,2.1483,0.6925,19874.6,0.7673,27411.4,9.0,3.583,0.011,0.706
dqn,4,0.8552,0.2232,2.1158,0.6842,18948.2,0.8552,32317.7,8.7,3.429,0.011,0.675
mappo,0,0.7923,0.2240,2.4198,0.6258,20128.5,0.7923,11805.8,8.7,0.993,0.094,0.105
mappo,1,0.3421,0.2260,2.4504,0.7192,22219.9,0.3421,27362.7,8.2,0.758,0.065,0.086
mappo,2,0.9350,0.2211,2.2860,0.5050,18698.4,0.9350,19672.1,8.9,0.713,0.057,0.085
mappo,3,0.3728,0.2306,2.3413,0.7375,19309.0,0.3728,38549.5,7.8,0.685,0.051,0.086
mappo,4,0.5984,0.2263,2.5717,0.7575,22462.8,0.5984,37852.5,8.1,0.781,0.062,0.094
cto,0,1.5381,0.1934,1.2226,0.3617,8283.7,1.5381,1000.0,676.8,3206.603,641.313,0.008
cto,1,1.2369,0.1897,0.9519,0.4717,7905.6,1.2369,10373.3,629.9,2984.805,596.954,0.008
cto,2,1.4705,0.2005,1.1963,0.2300,9700.3,1.4705,17472.2,660.7,3134.552,626.903,0.007
cto,3,1.2017,0.1912,0.9502,0.4258,7073.0,1.2017,2000.0,645.8,3061.832,612.360,0.007
cto,4,1.5591,0.1920,0.9454,0.4375,8296.1,1.5591,9979.4,668.8,3178.793,635.751,0.007
