name,metric,mean,std
causal,cum_reward,1.9849,0.2751
causal,reward,1.9849,0.2751
causal,acc,0.2025,0.0012
causal,vio,0.2258,0.1262
causal,backlog,8517.3000,572.7915
causal,final_backlog,9143.5400,3888.5713
causal,sec,13.8200,0.5891
causal,ms_per_slot,23.4336,1.2288
causal,decision_s,4.0964,0.1001
causal,update_s,0.5904,0.1579
ucb,cum_reward,1.5397,0.2139
ucb,reward,1.5397,0.2139
ucb,acc,0.1893,0.0161
ucb,vio,0.1512,0.0582
ucb,backlog,6903.4400,1426.2763
ucb,final_backlog,6645.7600,8327.5600
ucb,sec,56.5800,4.3101
ucb,ms_per_slot,240.5444,20.2113
ucb,decision_s,48.0972,4.0411
ucb,update_s,0.0116,0.0025
dts,cum_reward,1.5052,0.3312
dts,reward,1.5052,0.3312
dts,acc,0.2045,0.0030
dts,vio,0.3114,0.1195
dts,backlog,8773.0400,596.8965
dts,final_backlog,11470.9800,12291.1935
dts,sec,53.4000,3.4677
dts,ms_per_slot,224.5340,17.8771
dts,decision_s,44.8958,3.5758
dts,update_s,0.0108,0.0011
gdo,cum_reward,1.2177,0.0640
gdo,reward,1.2177,0.0640
gdo,acc,0.2618,0.0006
gdo,vio,0.3189,0.0239
gdo,backlog,31586.3000,4977.0333
gdo,final_backlog,34132.5200,23963.9597
gdo,sec,8.6400,0.2302
gdo,ms_per_slot,0.1094,0.0023
gdo,decision_s,0.0220,0.0007
gdo,update_s,0.0000,0.0000
rss,cum_reward,0.3460,0.4762
rss,reward,0.3460,0.4762
rss,acc,0.2091,0.0168
rss,vio,0.7210,0.2197
rss,backlog,59666.5800,65612.1755
rss,final_backlog,124025.3800,151920.3719
rss,sec,7.6600,1.3795
rss,ms_per_slot,0.0036,0.0005
rss,decision_s,0.0010,0.0000
rss,update_s,0.0000,0.0000
dqn,cum_reward,1.0322,0.2739
dqn,reward,1.0322,0.2739
dqn,acc,0.2279,0.0032
dqn,vio,0.6155,0.1004
dqn,backlog,19187.9200,1284.2570
dqn,final_backlog,22818.5200,13922.5744
dqn,sec,9.4600,0.8562
dqn,ms_per_slot,3.7312,0.2711
dqn,decision_s,0.0138,0.0068
dqn,update_s,0.7324,0.0528
mappo,cum_reward,0.6081,0.2584
mappo,reward,0.6081,0.2584
mappo,acc,0.2256,0.0035
mappo,vio,0.6690,0.1047
mappo,backlog,20563.7200,1702.3950
mappo,final_backlog,27048.5200,11574.2097
mappo,sec,8.3400,0.4506
mappo,ms_per_slot,0.7860,0.1216
mappo,decision_s,0.0658,0.0166
mappo,update_s,0.0912,0.0085
cto,cum_reward,1.4013,0.1698
cto,reward,1.4013,0.1698
cto,acc,0.1934,0.0042
cto,vio,0.3853,0.0955
cto,backlog,8251.7400,950.0732
cto,final_backlog,8164.9800,6784.8555
cto,sec,656.4000,18.7285
cto,ms_per_slot,3113.3170,90.2861
cto,decision_s,622.6562,18.0569
cto,update_s,0.0074,0.0005
