name,seed,reward,acc,delay,energy,backlog,vio,ms_per_slot,decision_ms,bcd_ms,update_ms,sec
causal,0,3.27671,0.221058,0.889768,0.779559,9885.5,0.205833,77.5608,22.4782,50.3602,4.72237,15.5496
causal,1,2.62307,0.225777,0.847609,1.08873,10996.1,0.336667,69.7281,20.948,45.4254,3.35471,13.9812
causal,2,3.47236,0.219628,0.782571,0.556147,10380.3,0.0275,71.5606,21.4151,47.6592,2.48633,14.3451
causal,3,2.6721,0.225453,0.836527,1.0601,11499.2,0.32,66.9961,20.3997,44.2786,2.31784,13.4316
causal,4,3.02424,0.222036,0.764917,0.934534,10809.6,0.309167,67.1767,20.3413,44.4954,2.34006,13.4675
ucb,0,2.82635,0.211558,0.9168,0.699638,8571.31,0.138333,315.897,270.978,44.8611,0.0578952,63.2118
ucb,1,2.30263,0.198753,0.881792,0.873093,8345.71,0.224167,285.842,243.08,42.7062,0.0553811,57.2002
ucb,2,3.0294,0.221833,0.959201,0.584545,10991.7,0.0941667,293.82,245.144,48.621,0.0545537,58.7952
ucb,3,2.18055,0.200059,0.939865,0.851583,9143.74,0.179167,260.129,218.778,41.2972,0.0539553,52.0579
ucb,4,2.35393,0.190687,0.807,0.786703,7382.66,0.193333,300.172,259.346,40.7742,0.0522852,60.0651
dts,0,2.72383,0.216219,1.07829,0.799691,9853.28,0.2775,283.846,237.574,46.2178,0.0538135,56.8005
dts,1,1.92316,0.211112,1.28919,1.0678,10871.7,0.458333,269.165,230.237,38.8753,0.0525522,53.8631
dts,2,2.94855,0.211658,0.94905,0.569915,9142.27,0.1225,262.078,215.881,46.1447,0.0516319,52.4453
dts,3,1.81708,0.211364,1.23109,1.01891,10962.1,0.396667,252.235,212.719,39.4646,0.0517237,50.4771
dts,4,2.19779,0.211005,1.16498,0.915827,10235.2,0.421667,281.126,239.655,41.4175,0.0535679,56.2562
gdo,0,2.06535,0.262294,2.13569,0.690683,26164.4,0.304167,43.0241,0.106065,42.918,0,8.63171
gdo,1,1.93768,0.26274,2.62182,0.78171,38697.2,0.311667,41.809,0.106454,41.7025,0,8.38878
gdo,2,2.13607,0.261211,2.15695,0.479754,29418.9,0.355,42.4634,0.106227,42.3571,0,8.51976
gdo,3,1.92738,0.261265,2.1472,0.779238,29176,0.294167,41.6425,0.107127,41.5354,0,8.35536
gdo,4,1.94891,0.261472,2.38526,0.72742,34491.2,0.329167,41.7432,0.107452,41.6358,0,8.37565
rss,0,1.15985,0.202151,1.90942,0.88796,9890.08,0.620833,37.8589,0.00350952,37.8554,0,7.59951
rss,1,-0.0670341,0.20592,3.12053,1.41035,21656.3,0.9425,33.0719,0.00344515,33.0685,0,6.64149
rss,2,1.20369,0.216593,11.3001,0.855088,120066,0.504167,34.0526,0.00336885,34.0492,0,6.83747
rss,3,0.589846,0.233035,18.784,1.08642,141494,0.971667,34.596,0.00338554,34.5926,0,6.9461
rss,4,1.42811,0.188118,0.83945,1.11547,5270.32,0.565833,50.7308,0.00344157,50.7274,0,10.1735
dqn,0,1.8119,0.230831,2.1887,0.99123,21072.1,0.604167,47.1163,0.119933,46.3789,0.617474,10.1121
dqn,1,1.03336,0.225851,2.37491,1.28678,25230.4,0.64,40.7556,0.0525582,40.3014,0.401667,8.19267
dqn,2,1.76593,0.226824,2.07552,0.621902,18835.8,0.455833,43.4103,0.0472236,42.9937,0.36944,8.72081
dqn,3,1.47267,0.214151,1.50264,1.47097,12916.6,0.7225,43.9103,0.0469816,43.4749,0.388392,8.82148
dqn,4,1.62834,0.210853,1.57768,1.17826,13838.9,0.655,45.5495,0.0518036,45.101,0.396665,9.14972
ppo,0,2.19569,0.187203,1.08926,0.877322,5720.95,0.390833,43.7249,0.50369,42.6448,0.57646,8.7854
ppo,1,1.46777,0.188029,1.00201,1.30454,5424.65,0.534167,39.2524,0.423421,38.3411,0.48795,7.88914
ppo,2,2.16792,0.187421,1.05612,0.646281,5861.35,0.186667,43.6822,0.436772,42.7687,0.476754,8.77496
ppo,3,1.49789,0.18579,0.934433,1.22243,4666.18,0.475,39.9882,0.422144,39.0864,0.479668,8.03589
ppo,4,1.86381,0.187328,0.95269,1.12741,5439.48,0.530833,40.3186,0.41157,39.4348,0.472238,8.10166
mappo,0,1.43659,0.226288,2.41363,0.953382,20925.5,0.634167,43.0863,0.207878,42.6911,0.187333,8.65696
mappo,1,0.663015,0.222848,2.59267,1.40214,22788.9,0.77,38.0024,0.201125,37.6245,0.176706,7.63861
mappo,2,1.8255,0.223258,2.14768,0.69637,16905.3,0.4825,41.5409,0.200737,41.1638,0.176351,8.34646
mappo,3,0.823508,0.227575,2.16692,1.31261,16628.5,0.735,38.3098,0.203868,37.9281,0.177746,7.70016
mappo,4,0.929456,0.227902,2.68541,1.15206,23034.6,0.76,39.1445,0.208685,38.7568,0.178993,7.86723
cto,0,2.2575,0.194714,1.17416,0.838967,8055.38,0.351667,3286.17,3240.63,45.5092,0.0364351,681.881
cto,1,1.93344,0.189721,0.952457,1.16246,7905.79,0.471667,3098.63,3054.89,43.702,0.0381982,643.925
cto,2,2.26445,0.199729,1.21437,0.604097,9988.54,0.241667,3321.84,3275.12,46.6902,0.0373876,689.913
cto,3,1.92174,0.192701,0.974914,1.10206,7485.06,0.4225,3380.94,3336.35,44.5464,0.037744,700.807
cto,4,2.29611,0.194255,0.927008,0.986089,8279.68,0.418333,3310.25,3265.04,45.1728,0.0375319,686.614
