name,seed,reward,acc,delay,energy,backlog,vio,ms_per_slot,decision_ms,select_ms,comm_ms,bcd_ms,update_ms,comm_uplink_B,comm_downlink_B,comm_rounds,sec
causal,0,115.439,0.173058,1.49022,0.09495,0.09008,0.19189,6.03166,1.06432,0.873048,4.024,0.943337,0.19127,300,456,2,50.9352
causal,1,118.427,0.175952,1.45284,0.0947427,0.08608,0.19186,5.69703,0.879902,0.724905,4.024,0.793127,0.154997,300,456,2,19.1728
causal,2,116.723,0.174721,1.47345,0.0941412,0.08524,0.206567,5.66109,0.882354,0.722932,4.024,0.754735,0.159422,300,456,2,963.623
causal,3,119.51,0.175218,1.4465,0.0954084,0.0854,0.194798,6.08678,1.09518,0.909761,4.024,0.967602,0.185415,300,456,2,24.5297
causal,4,116.789,0.171813,1.47068,0.0977328,0.08696,0.193326,6.1374,1.13457,0.931636,4.024,0.97883,0.202932,300,456,2,983.333
ucb,0,94.636,0.130967,1.57345,0.12221,0.09308,0.305143,5.98548,0.929162,0.91999,4.024,1.03232,0.00917196,300,456,2,23.8943
ucb,1,92.2342,0.134521,1.59061,0.123232,0.09244,0.327716,5.86101,0.849033,0.840853,4.024,0.987978,0.00817943,300,456,2,22.9574
ucb,2,95.6512,0.12566,1.54974,0.120379,0.08756,0.302687,5.75429,0.809198,0.801157,4.024,0.921096,0.00804043,300,456,2,22.5607
ucb,3,99.9693,0.128292,1.50172,0.117274,0.08776,0.285962,5.84717,0.865833,0.857967,4.024,0.957339,0.00786638,300,456,2,22.885
ucb,4,95.5986,0.135471,1.57145,0.123301,0.091,0.31473,6.12124,1.10873,1.10027,4.024,0.988512,0.00846219,300,456,2,24.0532
dts,0,89.3781,0.167936,1.72187,0.130449,0.09816,0.366648,5.86203,0.86682,0.858473,4.024,0.971214,0.00834775,300,456,2,23.0619
dts,1,90.7849,0.1684,1.68623,0.129746,0.09384,0.385241,6.19222,1.0306,1.02048,4.024,1.13763,0.0101106,300,456,2,27.6111
dts,2,86.5956,0.161487,1.72874,0.133822,0.09392,0.379701,5.82721,0.805569,0.797297,4.024,0.997637,0.00827169,300,456,2,24.0048
dts,3,90.5966,0.163174,1.671,0.133365,0.09292,0.384971,6.12211,0.98008,0.970722,4.024,1.11803,0.00935841,300,456,2,26.733
dts,4,87.7072,0.159393,1.70402,0.135817,0.09544,0.388953,6.13718,0.967676,0.957914,4.024,1.14551,0.00976205,300,456,2,27.3008
gdo,0,102.075,0.205573,1.69634,0.11562,0.0976,0.312,9.13199,1.46266,1.459,6.424,1.24533,0.00365686,800,556,2,30.187
gdo,1,104.665,0.20962,1.66441,0.115183,0.09332,0.303488,9.00345,1.36797,1.36456,6.424,1.21148,0.00340962,800,556,2,27.6233
gdo,2,104.032,0.209031,1.67729,0.113941,0.0914,0.305075,8.40155,1.08367,1.08108,6.424,0.893881,0.00258589,800,556,2,22.9822
gdo,3,105.677,0.207486,1.65562,0.11386,0.09348,0.285962,8.93291,1.34991,1.34651,6.424,1.159,0.00339937,800,556,2,28.2844
gdo,4,104.455,0.207116,1.67683,0.116737,0.09456,0.298215,8.92165,1.3464,1.34303,6.424,1.15124,0.00337005,800,556,2,28.565
dqn,0,82.8735,0.164315,1.77665,0.13732,0.1004,0.411765,314.788,306.808,0.723554,6.824,1.15567,306.084,900,556,2,331.788
dqn,1,84.8017,0.163107,1.74399,0.137586,0.09684,0.409884,14.969,6.83196,0.77792,6.824,1.31307,6.05404,900,556,2,973.907
dqn,2,83.915,0.161083,1.74099,0.135157,0.09448,0.41791,14.1056,6.21089,0.688915,6.824,1.07074,5.52197,900,556,2,30.0501
dqn,3,90.5086,0.165749,1.67813,0.133673,0.09368,0.392259,14.914,6.63241,0.758327,6.824,1.45757,5.87408,900,556,2,935.976
dqn,4,87.9996,0.161869,1.71866,0.135658,0.09604,0.385147,12.9442,5.24851,0.59165,6.824,0.871667,4.65686,900,556,2,23.2062
ppo,0,82.0053,0.162655,1.78111,0.137959,0.101,0.418618,11.9843,4.17466,0.974435,6.824,0.985689,3.20022,900,556,2,1002.24
ppo,1,85.6713,0.166477,1.74031,0.135247,0.0964,0.402092,12.3153,4.47046,1.06626,6.824,1.02083,3.4042,900,556,2,26.2053
ppo,2,84.8378,0.164689,1.75339,0.135351,0.09492,0.404179,927.824,919.891,1.18213,6.824,1.10899,918.709,900,556,2,944.323
ppo,3,89.747,0.161929,1.67779,0.133883,0.09332,0.405546,13.2613,5.29243,1.19367,6.824,1.1449,4.09876,900,556,2,30.3851
ppo,4,86.5644,0.15995,1.73044,0.136306,0.09712,0.389177,13.2646,5.0407,1.1174,6.824,1.39988,3.9233,900,556,2,518.051
mappo,0,83.3636,0.163604,1.76707,0.13777,0.10008,0.407767,5.99414,0.771122,0.296298,4.024,1.19902,0.474823,300,456,2,25.6501
mappo,1,86.173,0.1568,1.71338,0.135217,0.09548,0.386403,5.73923,0.685064,0.267918,4.024,1.03017,0.417146,300,456,2,926.576
mappo,2,86.3159,0.161063,1.73265,0.135429,0.09356,0.397612,5.62766,0.653539,0.251878,4.024,0.950121,0.40166,300,456,2,22.2952
mappo,3,90.0448,0.163864,1.67807,0.134082,0.09304,0.388215,5.70388,0.681897,0.272064,4.024,0.997984,0.409833,300,456,2,968.424
mappo,4,84.1831,0.15769,1.74422,0.138194,0.09792,0.393782,5.67236,0.646223,0.244742,4.024,1.00213,0.401481,300,456,2,22.3658
cto,0,115.445,0.16988,1.48892,0.0948213,0.09088,0.191319,10.4636,2.66402,1.80033,6.824,0.975627,0.863683,900,556,2,952.627
cto,1,118.247,0.172236,1.44368,0.0931832,0.08624,0.193492,10.7129,2.81994,1.93219,6.824,1.06895,0.887755,900,556,2,27.2118
cto,2,119.295,0.173523,1.44488,0.092503,0.08356,0.192836,11.156,3.20176,2.20264,6.824,1.13026,0.999125,900,556,2,979.443
cto,3,120.48,0.170597,1.41735,0.0933076,0.085,0.182659,11.0867,3.09465,2.05357,6.824,1.16808,1.04108,900,556,2,28.7904
cto,4,118.419,0.168875,1.44398,0.0961442,0.08688,0.177215,10.3411,2.57969,1.76292,6.824,0.937421,0.816776,900,556,2,1005.58
