name,metric,mean,std
causal,reward,117.378,1.59555
causal,acc,0.174153,0.00168593
causal,delay,1.46674,0.017427
causal,energy,0.095395,0.00138396
causal,backlog,0.086752,0.00198018
causal,vio,0.195688,0.00620084
causal,ms_per_slot,5.92279,0.225974
causal,decision_ms,1.01126,0.121381
causal,select_ms,0.832456,0.101271
causal,comm_ms,4.024,0
causal,bcd_ms,0.887526,0.105366
causal,update_ms,0.178807,0.0207588
causal,comm_uplink_B,300,0
causal,comm_downlink_B,456,0
causal,comm_rounds,2,0
causal,sec,408.319,516.104
ucb,reward,95.6178,2.79957
ucb,acc,0.130982,0.00413038
ucb,delay,1.55739,0.0343396
ucb,energy,0.121279,0.00253107
ucb,backlog,0.090368,0.00258525
ucb,vio,0.307247,0.0154375
ucb,ms_per_slot,5.91384,0.142161
ucb,decision_ms,0.912391,0.117964
ucb,select_ms,0.904047,0.11775
ucb,comm_ms,4.024,0
ucb,bcd_ms,0.977449,0.0413035
ucb,update_ms,0.00834408,0.000511578
ucb,comm_uplink_B,300,0
ucb,comm_downlink_B,456,0
ucb,comm_rounds,2,0
ucb,sec,23.2701,0.661863
dts,reward,89.0125,1.8255
dts,acc,0.164078,0.00397015
dts,delay,1.70237,0.0240987
dts,energy,0.13264,0.00250959
dts,backlog,0.094856,0.00205633
dts,vio,0.381103,0.0087268
dts,ms_per_slot,6.02815,0.170007
dts,decision_ms,0.930148,0.0915445
dts,select_ms,0.920978,0.0907526
dts,comm_ms,4.024,0
dts,bcd_ms,1.074,0.0829103
dts,update_ms,0.0091701,0.000829733
dts,comm_uplink_B,300,0
dts,comm_downlink_B,456,0
dts,comm_rounds,2,0
dts,sec,25.7423,2.06797
gdo,reward,104.181,1.32335
gdo,acc,0.207765,0.00160846
gdo,delay,1.6741,0.0153898
gdo,energy,0.115068,0.0012076
gdo,backlog,0.094072,0.00227709
gdo,vio,0.300948,0.00971701
gdo,ms_per_slot,8.87831,0.279364
gdo,decision_ms,1.32212,0.141488
gdo,select_ms,1.31884,0.141082
gdo,comm_ms,6.424,9.93014e-16
gdo,bcd_ms,1.13219,0.138709
gdo,update_ms,0.00328436,0.000407088
gdo,comm_uplink_B,800,0
gdo,comm_downlink_B,556,0
gdo,comm_rounds,2,0
gdo,sec,27.5284,2.71067
dqn,reward,86.0197,3.1576
dqn,acc,0.163225,0.00187075
dqn,delay,1.73168,0.0363923
dqn,energy,0.135879,0.00161449
dqn,backlog,0.096288,0.00261464
dqn,vio,0.403393,0.013963
dqn,ms_per_slot,74.3441,134.414
dqn,decision_ms,66.3463,134.423
dqn,select_ms,0.708073,0.073425
dqn,comm_ms,6.824,0
dqn,bcd_ms,1.17374,0.224809
dqn,update_ms,65.6383,134.415
dqn,comm_uplink_B,900,0
dqn,comm_downlink_B,556,0
dqn,comm_rounds,2,0
dqn,sec,458.986,469.769
ppo,reward,85.7652,2.80619
ppo,acc,0.16314,0.00252042
ppo,delay,1.73661,0.0379898
ppo,energy,0.135749,0.00150722
ppo,backlog,0.096552,0.00288269
ppo,vio,0.403922,0.0104815
ppo,ms_per_slot,195.73,409.254
ppo,decision_ms,187.774,409.266
ppo,select_ms,1.10678,0.0901349
ppo,comm_ms,6.824,0
ppo,bcd_ms,1.13206,0.162958
ppo,update_ms,186.667,409.224
ppo,comm_uplink_B,900,0
ppo,comm_downlink_B,556,0
ppo,comm_rounds,2,0
ppo,sec,504.24,473.001
mappo,reward,86.0161,2.58558
mappo,acc,0.160604,0.0032711
mappo,delay,1.72708,0.0335911
mappo,energy,0.136138,0.00176575
mappo,backlog,0.096016,0.00297141
mappo,vio,0.394756,0.00852855
mappo,ms_per_slot,5.74745,0.143883
mappo,decision_ms,0.687569,0.0497166
mappo,select_ms,0.26658,0.0200504
mappo,comm_ms,4.024,0
mappo,bcd_ms,1.03588,0.0956235
mappo,update_ms,0.420989,0.0307875
mappo,comm_uplink_B,300,0
mappo,comm_downlink_B,456,0
mappo,comm_rounds,2,0
mappo,sec,393.062,506.348
cto,reward,118.377,1.86269
cto,acc,0.171022,0.00185901
cto,delay,1.44776,0.0257781
cto,energy,0.0939919,0.00147135
cto,backlog,0.086512,0.00275178
cto,vio,0.187504,0.00721416
cto,ms_per_slot,10.7521,0.363589
cto,decision_ms,2.87201,0.269133
cto,select_ms,1.95033,0.181845
cto,comm_ms,6.824,0
cto,bcd_ms,1.05607,0.0984439
cto,update_ms,0.921684,0.0945704
cto,comm_uplink_B,900,0
cto,comm_downlink_B,556,0
cto,comm_rounds,2,0
cto,sec,598.731,521.34
