name,metric,mean,std
causal,reward,4.30672,0.922095
causal,acc,0.198735,0.00182202
causal,delay,1.13954,0.0403462
causal,energy,0.901428,0.342612
causal,backlog,11068.3,1391.77
causal,vio,0.45,0.217207
causal,ms_per_slot,191.759,1.97331
causal,decision_ms,120.095,2.25254
causal,comm_ms,5.928,0
causal,bcd_ms,65.7353,1.90906
causal,update_ms,54.5378,2.69182
causal,comm_uplink_B,200,0
causal,comm_downlink_B,416,0
causal,comm_rounds,1,0
causal,sec,55.8368,0.589423
ucb,reward,3.22697,0.911424
ucb,acc,0.183659,0.0102666
ucb,delay,1.84369,0.620921
ucb,energy,0.853488,0.29695
ucb,backlog,14995,6235.92
ucb,vio,0.552933,0.203117
ucb,ms_per_slot,121.896,3.90206
ucb,decision_ms,55.6807,2.44736
ucb,comm_ms,3.24,0
ucb,bcd_ms,62.9754,4.07094
ucb,update_ms,0.0985724,0.00242734
ucb,comm_uplink_B,120,0
ucb,comm_downlink_B,160,0
ucb,comm_rounds,1,0
ucb,sec,35.6738,1.17083
dts,reward,2.58476,0.998335
dts,acc,0.20903,0.00688198
dts,delay,3.19739,1.12097
dts,energy,1.00157,0.459133
dts,backlog,30631.1,12937.4
dts,vio,0.717,0.109607
dts,ms_per_slot,118.732,3.11472
dts,decision_ms,53.7309,0.687319
dts,comm_ms,3.24,0
dts,bcd_ms,61.7616,2.55483
dts,update_ms,0.0953824,0.000401699
dts,comm_uplink_B,120,0
dts,comm_downlink_B,160,0
dts,comm_rounds,1,0
dts,sec,34.7222,0.934552
gdo,reward,1.75658,1.00711
gdo,acc,0.261512,0.000266283
gdo,delay,35.142,6.26761
gdo,energy,0.957334,0.321364
gdo,backlog,468638,86545.5
gdo,vio,0.808867,0.114143
gdo,ms_per_slot,74.066,9.70813
gdo,decision_ms,0.256152,0.0210242
gdo,comm_ms,5.16,0
gdo,bcd_ms,68.6498,9.68774
gdo,update_ms,0,0
gdo,comm_uplink_B,320,0
gdo,comm_downlink_B,200,0
gdo,comm_rounds,1,0
gdo,sec,20.7493,2.91841
rss,reward,0.841323,1.7948
rss,acc,0.215427,0.00564699
rss,delay,25.9141,26.929
rss,energy,1.28583,0.549852
rss,backlog,293488,314794
rss,vio,0.8238,0.184561
rss,ms_per_slot,78.085,5.73876
rss,decision_ms,0.00612291,0.000357365
rss,comm_ms,3.24,0
rss,bcd_ms,74.8389,5.73871
rss,update_ms,0,0
rss,comm_uplink_B,120,0
rss,comm_downlink_B,160,0
rss,comm_rounds,1,0
rss,sec,22.5295,1.72163
dqn,reward,1.03426,1.06609
dqn,acc,0.223856,0.00177725
dqn,delay,10.4597,2.64629
dqn,energy,1.23507,0.471279
dqn,backlog,122455,38636
dqn,vio,0.877,0.0398093
dqn,ms_per_slot,98.5639,4.53589
dqn,decision_ms,22.7736,1.11028
dqn,comm_ms,5.48,0
dqn,bcd_ms,70.3102,3.49895
dqn,update_ms,22.2663,1.06423
dqn,comm_uplink_B,360,0
dqn,comm_downlink_B,200,0
dqn,comm_rounds,1,0
dqn,sec,28.1783,1.67988
ppo,reward,1.22819,1.12566
ppo,acc,0.20996,0.000493532
ppo,delay,4.48118,1.06002
ppo,energy,1.19393,0.474064
ppo,backlog,41165,12980.4
ppo,vio,0.846733,0.0558398
ppo,ms_per_slot,74.8055,2.56933
ppo,decision_ms,2.00611,0.0921827
ppo,comm_ms,5.48,0
ppo,bcd_ms,67.3194,2.52761
ppo,update_ms,1.0992,0.0476879
ppo,comm_uplink_B,360,0
ppo,comm_downlink_B,200,0
ppo,comm_rounds,1,0
ppo,sec,20.9035,0.771599
mappo,reward,0.593734,1.04392
mappo,acc,0.226096,0.00212492
mappo,delay,10.8546,2.62222
mappo,energy,1.26257,0.469901
mappo,backlog,121899,36778.1
mappo,vio,0.916867,0.0262484
mappo,ms_per_slot,68.0243,1.26638
mappo,decision_ms,0.682874,0.0680821
mappo,comm_ms,3.24,0
mappo,bcd_ms,64.1015,1.30361
mappo,update_ms,0.341302,0.0216948
mappo,comm_uplink_B,120,0
mappo,comm_downlink_B,160,0
mappo,comm_rounds,1,0
mappo,sec,19.5337,0.378173
cto,reward,2.74795,0.77979
cto,acc,0.190044,0.00090494
cto,delay,1.65435,0.122333
cto,energy,1.04955,0.395808
cto,backlog,12693.8,1157.43
cto,vio,0.6714,0.114921
cto,ms_per_slot,1052.89,571.338
cto,decision_ms,972.174,560.902
cto,comm_ms,5.48,0
cto,bcd_ms,75.2363,15.1733
cto,update_ms,0.325187,0.148984
cto,comm_uplink_B,360,0
cto,comm_downlink_B,200,0
cto,comm_rounds,1,0
cto,sec,314.339,171.449
