name,seed,explore_knob,reward,acc,delay,energy,backlog,vio,vio_excess,sec
causal,0,0.55,6.78075,0.184821,11.515,1.75479,28078.2,0.2424,5.55648,31.2652
causal,1,0.55,7.26949,0.18932,11.4178,1.60353,30039.8,0.1926,5.50249,29.3722
causal,2,0.55,6.80872,0.187875,13.3391,1.86975,28032,0.2916,7.01877,27.278
ucb,0,0.55,4.85744,0.180209,18.8552,2.5011,35915.4,0.396,9.70867,32.1029
ucb,1,0.55,5.26212,0.180481,20.5238,2.52156,31694.5,0.3414,10.2078,32.8079
ucb,2,0.55,5.53765,0.175992,19.1655,2.47916,31160.9,0.3546,9.97715,31.8603
dts,0,0.55,1.62039,0.181787,37.8853,4.38289,36825.1,0.5252,20.2222,32.0238
dts,1,0.55,3.45978,0.194982,26.6331,3.11662,55001.2,0.5494,13.9134,31.753
dts,2,0.55,2.10837,0.190209,35.6605,4.11328,54263.9,0.5954,19.307,33.7928
gdo,0,0.55,-7.48139,0.247329,107.956,11.4107,231155,0.7364,60.3872,16.5778
gdo,1,0.55,-7.32163,0.229061,108.296,11.2892,270130,0.6766,59.0808,18.2708
gdo,2,0.55,-9.42765,0.23679,122.299,12.7779,229978,0.7566,64.156,18.4605
rss,0,0.55,0.247934,0.195675,40.7433,4.6373,123420,0.6836,20.9781,17.1415
rss,1,0.55,-1.38889,0.198397,57.1013,6.0975,125217,0.7014,28.7185,16.6154
rss,2,0.55,-2.0294,0.195836,60.7853,6.59373,80697.5,0.7042,35.7208,16.6094
dqn,0,0.55,-1.88044,0.206693,55.2772,6.08824,134005,0.7508,30.1923,33.7646
dqn,1,0.55,-1.50475,0.205146,58.557,6.27557,104559,0.68,28.0045,33.4352
dqn,2,0.55,-2.83873,0.204464,66.6125,7.15358,107110,0.7584,36.6964,33.4213
ppo,0,0.55,-3.82288,0.206215,71.3416,7.69908,101307,0.7508,39.06,15.885
ppo,1,0.55,-2.65514,0.206117,66.9129,7.11903,136492,0.6996,33.6632,15.761
ppo,2,0.55,-0.842833,0.205775,48.6285,5.35761,119625,0.7756,26.6041,15.4467
mappo,0,0.55,-2.78224,0.207366,62.418,6.80097,137119,0.758,34.2616,14.4131
mappo,1,0.55,-3.40184,0.205396,72.7731,7.69458,109761,0.7004,35.7358,16.856
mappo,2,0.55,-2.35961,0.204326,62.8606,6.77372,84405.3,0.755,34.0961,15.5934
cto,0,0.55,4.63326,0.181865,21.2466,2.72444,31451.1,0.3992,11.1358,50.9938
cto,1,0.55,0.582285,0.195182,52.3073,5.70933,77865,0.5096,28.2173,49.452
cto,2,0.55,2.27404,0.189036,39.2386,4.48698,32759.4,0.5088,21.769,47.8259
causal,0,1,7.18886,0.187617,8.3715,1.43827,26305.5,0.2254,3.86727,27.6302
causal,1,1,7.22405,0.189284,11.4915,1.6103,28552.9,0.2082,5.50451,31.0478
causal,2,1,6.61396,0.185827,14.4214,1.97269,27696,0.296,7.64933,29.006
ucb,0,1,4.84988,0.173687,22.3684,2.8524,34664.7,0.313,11.4312,33.0268
ucb,1,1,4.72551,0.179296,24.3486,2.9167,31409.3,0.3634,13.2446,31.9378
ucb,2,1,4.38444,0.185366,26.1269,3.16351,47957.1,0.41,14.0723,31.2886
dts,0,1,1.62039,0.181787,37.8853,4.38289,36825.1,0.5252,20.2222,32.4979
dts,1,1,3.45978,0.194982,26.6331,3.11662,55001.2,0.5494,13.9134,31.4698
dts,2,1,2.10837,0.190209,35.6605,4.11328,54263.9,0.5954,19.307,32.9076
gdo,0,1,-7.48139,0.247329,107.956,11.4107,231155,0.7364,60.3872,16.5743
gdo,1,1,-7.32163,0.229061,108.296,11.2892,270130,0.6766,59.0808,15.6378
gdo,2,1,-9.42765,0.23679,122.299,12.7779,229978,0.7566,64.156,15.5235
rss,0,1,0.247934,0.195675,40.7433,4.6373,123420,0.6836,20.9781,14.4019
rss,1,1,-1.38889,0.198397,57.1013,6.0975,125217,0.7014,28.7185,13.7299
rss,2,1,-2.0294,0.195836,60.7853,6.59373,80697.5,0.7042,35.7208,14.7489
dqn,0,1,-1.11752,0.206636,49.926,5.55365,130044,0.7488,26.8107,32.4076
dqn,1,1,-1.68986,0.206131,59.1437,6.33331,123633,0.7034,28.0715,33.1233
dqn,2,1,-4.02846,0.205001,74.5078,7.94326,130519,0.7686,40.4392,33.3516
ppo,0,1,-3.82288,0.206215,71.3416,7.69908,101307,0.7508,39.06,17.2597
ppo,1,1,-2.65514,0.206117,66.9129,7.11903,136492,0.6996,33.6632,16.1296
ppo,2,1,-0.842833,0.205775,48.6285,5.35761,119625,0.7756,26.6041,15.6512
mappo,0,1,-2.78224,0.207366,62.418,6.80097,137119,0.758,34.2616,16.2222
mappo,1,1,-3.40184,0.205396,72.7731,7.69458,109761,0.7004,35.7358,17.4944
mappo,2,1,-2.35961,0.204326,62.8606,6.77372,84405.3,0.755,34.0961,17.4473
cto,0,1,4.63326,0.181865,21.2466,2.72444,31451.1,0.3992,11.1358,48.6814
cto,1,1,0.255729,0.193647,54.7954,5.95835,97515.4,0.5074,28.6495,50.8187
cto,2,1,3.52964,0.18798,30.3481,3.59439,32681.3,0.483,15.9902,49.135
causal,0,2,6.79768,0.188631,10.669,1.66412,27410.3,0.2486,5.05698,31.7636
causal,1,2,7.06036,0.193358,12.4637,1.70204,31314.2,0.2346,5.9796,30.2008
causal,2,2,6.53819,0.188468,14.021,1.92892,28186.4,0.3218,7.54077,28.1172
ucb,0,2,4.49677,0.174182,21.7097,2.77796,25832.5,0.3722,11.1742,32.7789
ucb,1,2,4.94162,0.172515,20.8326,2.55289,40723.4,0.3698,10.0699,32.026
ucb,2,2,2.92755,0.183654,33.0395,3.84319,41634.4,0.4998,17.6273,31.4721
dts,0,2,1.62039,0.181787,37.8853,4.38289,36825.1,0.5252,20.2222,31.1028
dts,1,2,3.45978,0.194982,26.6331,3.11662,55001.2,0.5494,13.9134,31.6962
dts,2,2,2.10837,0.190209,35.6605,4.11328,54263.9,0.5954,19.307,31.5757
gdo,0,2,-7.48139,0.247329,107.956,11.4107,231155,0.7364,60.3872,16.3745
gdo,1,2,-7.32163,0.229061,108.296,11.2892,270130,0.6766,59.0808,16.1558
gdo,2,2,-9.42765,0.23679,122.299,12.7779,229978,0.7566,64.156,15.8617
rss,0,2,0.247934,0.195675,40.7433,4.6373,123420,0.6836,20.9781,14.5277
rss,1,2,-1.38889,0.198397,57.1013,6.0975,125217,0.7014,28.7185,13.6849
rss,2,2,-2.0294,0.195836,60.7853,6.59373,80697.5,0.7042,35.7208,14.8571
dqn,0,2,-3.97761,0.206424,73.3633,7.89637,98916.6,0.7492,39.1031,32.4686
dqn,1,2,-2.0577,0.207043,62.4205,6.65876,126922,0.7012,30.7353,34.2125
dqn,2,2,-1.70022,0.205936,56.1418,6.10505,123699,0.7732,32.6804,38.9166
ppo,0,2,-3.82288,0.206215,71.3416,7.69908,101307,0.7508,39.06,20.136
