name,seed,snr_db,reward,acc,delay,energy,backlog,vio,vio_excess,sec
causal,0,2,5.15063,0.214709,3.76681,0.747191,32801.8,0.504,0.946469,13.6845
causal,1,2,5.53376,0.220028,5.10194,0.604934,54022.5,0.43025,1.55445,13.761
causal,2,2,5.25157,0.22086,3.96983,0.696886,40015.3,0.555,0.918141,13.6565
ucb,0,2,4.48218,0.196772,3.77449,0.761781,38782.5,0.4795,0.968481,16.6302
ucb,1,2,3.95643,0.213426,7.39418,0.605739,102773,0.57525,3.16453,16.3233
ucb,2,2,4.01173,0.220739,9.84175,0.75935,143158,0.70475,3.2692,16.7242
dts,0,2,3.46244,0.218747,12.1461,0.771289,153297,0.74575,4.82942,15.6885
dts,1,2,3.71738,0.214185,13.0924,0.618153,193739,0.654,6.54051,15.8376
dts,2,2,3.39807,0.201327,20.5095,0.696993,193008,0.75375,9.95009,15.2308
gdo,0,2,2.17417,0.257361,124.461,0.785245,1.53486e+06,0.98225,59.3176,7.09718
gdo,1,2,2.36933,0.259436,138.681,0.622829,1.6685e+06,0.9805,68.4403,6.93917
gdo,2,2,2.14805,0.257759,132.657,0.681014,1.62518e+06,0.9795,62.0483,7.10284
rss,0,2,2.37198,0.212957,129.556,0.808352,1.06252e+06,0.92575,60.3907,7.61596
rss,1,2,3.57345,0.214729,141.961,0.672621,1.2712e+06,0.60325,69.4484,7.83028
rss,2,2,3.65816,0.21345,32.0128,0.90344,557378,0.6805,16.5926,10.6378
dqn,0,2,2.49311,0.224981,31.8324,0.836551,350712,0.91775,13.8997,18.3407
dqn,1,2,2.76122,0.224354,25.6906,0.69792,274078,0.85875,11.1134,17.757
dqn,2,2,2.59423,0.227609,28.418,0.794883,321663,0.88475,11.9645,17.6809
ppo,0,2,2.30665,0.22517,31.4051,0.856712,326716,0.925,13.5903,9.56482
ppo,1,2,2.38758,0.227275,35.7741,0.735202,374652,0.91,16.4092,9.2561
ppo,2,2,2.03919,0.227076,43.7926,0.823993,454099,0.931,19.6696,9.44002
mappo,0,2,2.21871,0.227428,37.1248,0.864867,392585,0.929,16.2813,8.85503
mappo,1,2,2.50854,0.224677,28.0151,0.717736,285237,0.90425,12.2466,8.82504
mappo,2,2,2.36295,0.223923,23.0554,0.807586,239365,0.895,9.066,8.86115
cto,0,2,4.61158,0.189071,2.50754,0.743584,16404.9,0.48375,0.381212,22.0681
cto,1,2,4.93799,0.19034,2.63676,0.610615,19052.4,0.41275,0.414333,21.9682
cto,2,2,4.7575,0.188836,2.63815,0.693042,18642.2,0.52975,0.43739,21.5616
causal,0,4,5.43145,0.2176,3.52488,0.750271,31897.2,0.4625,0.854879,14.0811
causal,1,4,5.80505,0.221547,4.29311,0.614759,48640.2,0.4215,1.23131,14.2197
causal,2,4,5.57252,0.220179,3.20864,0.693794,32165.2,0.518,0.687425,14.2105
ucb,0,4,4.1611,0.193187,5.1081,0.725651,50225.8,0.55875,1.55699,16.0564
ucb,1,4,4.08244,0.208463,23.6137,0.52724,307569,0.60175,10.4304,14.9388
ucb,2,4,4.21987,0.214043,22.6424,0.672773,278006,0.626,11.0837,16.066
dts,0,4,3.736,0.211199,10.7683,0.761948,119302,0.668,4.27046,15.6356
dts,1,4,4.00265,0.220151,15.3448,0.622485,214804,0.6425,7.08318,15.8199
dts,2,4,3.99101,0.214313,13.334,0.679306,123614,0.6595,6.06158,15.2688
gdo,0,4,2.24007,0.256907,107.959,0.774064,1.39634e+06,0.97875,51.0559,7.2504
gdo,1,4,2.4525,0.258812,122.838,0.611977,1.54414e+06,0.9735,60.6407,7.11414
gdo,2,4,2.20631,0.257091,116.216,0.670321,1.49488e+06,0.976,54.5028,7.43175
rss,0,4,2.38723,0.212856,129.55,0.807952,1.06252e+06,0.92575,60.3905,7.57697
rss,1,4,3.615,0.214482,132.296,0.664657,1.23219e+06,0.6025,65.0036,7.9904
rss,2,4,3.67061,0.213486,31.9971,0.902422,557374,0.6805,16.5926,10.663
dqn,0,4,2.67405,0.225333,27.5669,0.831919,309361,0.89075,11.8403,18.609
dqn,1,4,2.80296,0.224092,24.0353,0.698788,268806,0.8475,10.735,17.8171
dqn,2,4,2.77105,0.226373,23.808,0.784626,272727,0.866,9.97935,17.6099
ppo,0,4,2.4308,0.224737,27.1158,0.850697,287219,0.908,11.5864,9.40032
ppo,1,4,2.53111,0.227114,30.0644,0.724592,319433,0.89175,13.6647,9.36635
ppo,2,4,2.13803,0.227195,41.3861,0.822457,438735,0.9185,18.6064,9.29749
mappo,0,4,2.32306,0.227388,33.4208,0.859824,361051,0.91525,14.5327,8.90939
mappo,1,4,2.65781,0.225011,24.453,0.712635,253475,0.879,10.6286,8.90609
mappo,2,4,2.47518,0.223744,19.8318,0.801011,207451,0.881,7.73174,8.94072
cto,0,4,4.6344,0.190047,2.52384,0.742647,17180.8,0.481,0.391763,22.5152
cto,1,4,4.99746,0.190774,2.56553,0.601803,18870,0.39825,0.395517,21.963
cto,2,4,4.82072,0.194518,2.54433,0.69753,18521,0.52,0.408157,21.9796
