name,seed,n_users,reward,acc,delay,energy,backlog,vio,vio_excess,sec
causal,0,10,6.90298,0.188285,9.52285,1.55693,26708.8,0.251,4.57662,27.8608
causal,1,10,7.0221,0.190028,14.1612,1.87603,29651.1,0.1954,7.11204,29.0939
causal,2,10,7.02516,0.189988,11.3166,1.67521,28232,0.2942,5.9836,29.0692
ucb,0,10,4.34923,0.177367,23.6947,2.97971,34722.4,0.3704,12.7216,36.006
ucb,1,10,4.6583,0.176326,23.4015,2.80254,29146.4,0.358,11.178,34.6394
ucb,2,10,3.85289,0.191453,25.2611,3.05759,40633.2,0.5414,13.2415,31.4177
dts,0,10,1.62039,0.181787,37.8853,4.38289,36825.1,0.5252,20.2222,30.0827
dts,1,10,3.45978,0.194982,26.6331,3.11662,55001.2,0.5494,13.9134,30.7247
dts,2,10,2.10837,0.190209,35.6605,4.11328,54263.9,0.5954,19.307,30.216
gdo,0,10,-7.48139,0.247329,107.956,11.4107,231155,0.7364,60.3872,15.7847
gdo,1,10,-7.32163,0.229061,108.296,11.2892,270130,0.6766,59.0808,15.1549
gdo,2,10,-9.42765,0.23679,122.299,12.7779,229978,0.7566,64.156,15.2679
rss,0,10,0.247934,0.195675,40.7433,4.6373,123420,0.6836,20.9781,14.1617
rss,1,10,-1.38889,0.198397,57.1013,6.0975,125217,0.7014,28.7185,13.339
rss,2,10,-2.0294,0.195836,60.7853,6.59373,80697.5,0.7042,35.7208,14.8342
dqn,0,10,-1.91704,0.204607,56.612,6.22039,106206,0.7376,30.4036,31.7236
dqn,1,10,-2.21271,0.203941,63.3385,6.75143,101717,0.7034,30.7822,32.3992
dqn,2,10,-2.24579,0.204844,61.8757,6.68603,99550.5,0.7422,33.8898,32.2508
ppo,0,10,-3.82288,0.206215,71.3416,7.69908,101307,0.7508,39.06,16.3188
ppo,1,10,-2.65514,0.206117,66.9129,7.11903,136492,0.6996,33.6632,15.5869
ppo,2,10,-0.842833,0.205775,48.6285,5.35761,119625,0.7756,26.6041,15.7849
mappo,0,10,-2.78224,0.207366,62.418,6.80097,137119,0.758,34.2616,14.4086
mappo,1,10,-3.40184,0.205396,72.7731,7.69458,109761,0.7004,35.7358,15.5101
mappo,2,10,-2.35961,0.204326,62.8606,6.77372,84405.3,0.755,34.0961,14.4182
cto,0,10,4.63326,0.181865,21.2466,2.72444,31451.1,0.3992,11.1358,45.5154
cto,1,10,2.96223,0.191215,37.3001,4.19715,49705.7,0.4376,17.8084,47.1985
cto,2,10,2.98849,0.1869,32.8104,3.84155,34647,0.5084,18.1055,47.1486
causal,0,15,6.2115,0.172356,14.5274,1.93185,20666.6,0.260267,6.87953,35.7555
