name,seed,arrival_rate,reward,acc,delay,energy,backlog,vio,vio_excess,sec
causal,0,0.05,6.86983,0.186374,8.9783,1.50167,9787.33,0.2412,4.12765,30.7125
causal,1,0.05,7.0533,0.192229,12.766,1.73866,11167,0.2078,6.4888,29.0818
causal,2,0.05,7.06471,0.19123,10.3787,1.58149,10574.8,0.3032,5.12231,34.4135
ucb,0,0.05,5.42483,0.162131,13.238,1.9115,5805.91,0.3466,6.64869,55.4252
ucb,1,0.05,4.69692,0.184509,23.4763,2.80635,13061.1,0.3872,11.1717,59.9042
ucb,2,0.05,5.61501,0.165271,16.6287,2.22075,6648.33,0.3576,8.03412,35.1504
dts,0,0.05,1.93281,0.179845,38.1408,4.41817,13123.5,0.4744,20.7018,32.3212
dts,1,0.05,3.88868,0.179411,27.5838,3.20938,11450.5,0.4246,13.3395,31.3588
dts,2,0.05,2.44536,0.188877,36.2208,4.18623,11921.7,0.5242,18.6887,32.842
gdo,0,0.05,-6.58254,0.232207,97.7717,10.3741,37023.2,0.746,53.3283,15.0047
gdo,1,0.05,-7.3953,0.246976,112.954,11.7763,42795.4,0.6754,64.2445,16.1418
gdo,2,0.05,-6.66801,0.232191,100.775,10.6324,56006.3,0.7352,56.3354,15.5007
rss,0,0.05,-0.0531905,0.194286,43.375,4.90312,20877.3,0.6832,22.558,13.959
rss,1,0.05,-2.23497,0.1981,65.2615,6.92212,18266.8,0.6876,34.9881,13.0451
rss,2,0.05,-1.06906,0.196908,54.0947,5.92069,20586.5,0.6946,32.4304,14.0873
dqn,0,0.05,-0.68037,0.205854,46.8019,5.2443,25919.8,0.7394,24.472,31.1031
dqn,1,0.05,-1.13177,0.207322,56.3274,6.05244,23362.4,0.6854,26.2239,32.9457
dqn,2,0.05,-0.935254,0.205645,52.0168,5.69403,23123.4,0.7476,28.9782,35.0962
ppo,0,0.05,-2.29325,0.206841,59.879,6.54866,22087.3,0.7406,32.5988,16.1434
ppo,1,0.05,-2.2478,0.204852,63.689,6.78348,25938,0.7088,33.0146,15.9767
ppo,2,0.05,-2.88216,0.20612,66.3796,7.14493,28799.1,0.7504,34.658,17.044
mappo,0,0.05,-5.10484,0.206829,82.4098,8.80374,32705.6,0.7458,44.1495,14.6118
mappo,1,0.05,-2.83284,0.204261,68.8347,7.30677,24870,0.7002,34.864,15.5741
mappo,2,0.05,-1.22088,0.203035,54.2936,5.92421,28882.2,0.7402,30.5394,14.5183
cto,0,0.05,3.14521,0.189555,27.5531,3.35927,12602,0.5204,14.1512,53.6734
cto,1,0.05,4.65569,0.182777,24.8826,2.95352,10896.7,0.3642,12.9751,54.1655
cto,2,0.05,4.6644,0.182519,19.0122,2.45954,10701.6,0.4932,10.0034,53.8519
causal,0,0.1,6.83843,0.186165,9.939,1.59341,17167.9,0.2452,4.85563,34.8717
causal,1,0.1,6.91174,0.189081,14.2329,1.88106,17937.5,0.203,7.34782,30.4257
causal,2,0.1,6.54921,0.184913,14.0595,1.94173,17383.6,0.2852,6.63964,30.1138
ucb,0,0.1,2.93543,0.187731,26.4348,3.23315,41719.3,0.5376,13.4346,38.4341
ucb,1,0.1,3.64727,0.176193,29.4963,3.41621,27928,0.3758,14.2392,33.5831
ucb,2,0.1,4.48611,0.176154,22.134,2.78451,21499.9,0.4442,10.7714,34.6138
dts,0,0.1,3.90924,0.187314,21.9703,2.79729,25646.2,0.4822,11.1217,35.0796
dts,1,0.1,4.24471,0.176875,23.517,2.79706,22756.5,0.4186,12.3878,35.1289
dts,2,0.1,4.4427,0.18369,20.7832,2.62745,25599.9,0.48,10.8464,35.9479
gdo,0,0.1,-5.67202,0.239888,91.4963,9.75362,98324.9,0.735,49.8816,17.7399
gdo,1,0.1,-3.62668,0.240098,81.8409,8.65216,114535,0.6832,45.1864,17.6189
gdo,2,0.1,-8.47978,0.234854,115.359,12.0817,91756,0.745,64.8771,19.8403
rss,0,0.1,0.935026,0.194741,35.631,4.1262,52681.4,0.6804,18.4104,18.2686
rss,1,0.1,-0.68813,0.199484,51.5362,5.54963,66581.6,0.6916,27.0399,15.3038
rss,2,0.1,-0.803212,0.194788,51.4318,5.65373,53071.9,0.6928,30.0934,17.4955
dqn,0,0.1,-2.08122,0.204902,57.2829,6.28676,67969.6,0.7474,31.3261,33.8057
dqn,1,0.1,-1.86992,0.205513,62.2524,6.64089,50240.2,0.6898,30.7365,31.0406
dqn,2,0.1,-2.37773,0.206756,62.417,6.7379,66732.8,0.7636,33.2085,36.2975
ppo,0,0.1,-1.27098,0.207043,51.4086,5.70222,59347,0.7444,27.1146,19.3736
ppo,1,0.1,-2.95071,0.206814,69.5936,7.37538,68049.7,0.7024,36.0715,17.6274
ppo,2,0.1,-0.495533,0.205868,47.2145,5.22206,63997.8,0.7588,25.9913,15.2857
mappo,0,0.1,-2.59997,0.208545,61.8939,6.75515,55040,0.7484,32.2495,13.6281
mappo,1,0.1,-2.31614,0.206401,65.0837,6.93376,73781.7,0.6936,31.3487,14.0609
mappo,2,0.1,-2.20871,0.20187,62.6217,6.76503,60534.2,0.7376,32.7545,13.1779
cto,0,0.1,3.93811,0.190116,22.2266,2.82494,24346.4,0.4958,11.3413,47.8024
cto,1,0.1,4.43928,0.185204,24.3299,2.90913,22849.5,0.3942,12.4226,41.0944
cto,2,0.1,3.97072,0.18466,27.8014,3.3204,22297.3,0.462,15.0166,38.8096
causal,0,0.18,6.92442,0.185586,9.62697,1.56417,34997.4,0.2436,4.57139,23.3092
causal,1,0.18,7.2838,0.189731,12.729,1.73103,34637.9,0.1906,6.41703,22.5406
causal,2,0.18,6.83027,0.186596,12.2157,1.76069,41510.7,0.2818,6.48402,22.3572
ucb,0,0.18,4.86469,0.166187,17.1072,2.31035,40111.7,0.3628,8.76507,26.9112
ucb,1,0.18,5.66025,0.169471,16.9493,2.16033,33182.8,0.2984,8.17355,26.6654
ucb,2,0.18,4.02403,0.171916,28.6038,3.41912,43064.9,0.4,14.6148,27.1654
dts,0,0.18,2.09673,0.191462,32.8543,3.8834,75327.6,0.5802,17.0307,26.6662
dts,1,0.18,4.35038,0.185651,24.9329,2.95282,53958.3,0.4022,12.6329,27.1428
dts,2,0.18,3.32028,0.176714,28.632,3.41204,48027.9,0.4974,16.0153,29.8526
gdo,0,0.18,-6.14539,0.245487,95.4337,10.158,535652,0.753,51.9951,14.8034
gdo,1,0.18,-6.09116,0.24748,101.648,10.6455,462268,0.6884,54.0025,14.1764
gdo,2,0.18,-9.07886,0.237426,119.621,12.5251,457228,0.7566,65.5708,13.7326
rss,0,0.18,0.558703,0.194884,37.3862,4.30078,206279,0.701,19.2877,12.1778
rss,1,0.18,-0.606052,0.198213,50.5971,5.4536,243402,0.7004,26.6889,11.7168
rss,2,0.18,-2.40137,0.19618,63.7355,6.89013,162600,0.6998,37.9142,12.5563
dqn,0,0.18,-1.72474,0.205833,53.3223,5.896,207282,0.7552,28.5189,29.7503
dqn,1,0.18,-1.42275,0.208581,57.7577,6.19556,174162,0.7046,29.7799,30.5062
dqn,2,0.18,-3.05757,0.206195,67.6587,7.27344,169118,0.7596,39.4884,32.3105
ppo,0,0.18,-4.52399,0.20625,76.7303,8.23362,145952,0.745,39.8725,16.4523
ppo,1,0.18,-3.26484,0.206827,71.7395,7.59547,190487,0.7012,37.3635,17.0931
ppo,2,0.18,-3.08936,0.206529,67.1089,7.20882,173360,0.7596,37.7271,16.3416
mappo,0,0.18,-4.82116,0.208694,79.2147,8.48291,228456,0.7516,41.7699,15.8265
mappo,1,0.18,-3.87963,0.206166,77.8975,8.2136,145912,0.6916,41.2255,14.7095
mappo,2,0.18,-1.88695,0.202995,57.7908,6.27365,188211,0.7658,30.8222,14.0088
cto,0,0.18,4.01413,0.180273,26.0424,3.20458,38753.8,0.4012,13.693,47.0825
cto,1,0.18,4.24233,0.182406,27.5616,3.22862,50139.1,0.3804,14.1577,44.9195
cto,2,0.18,4.07292,0.180679,25.3851,3.09647,46820.8,0.4616,13.9346,41.4224
causal,0,0.28,6.52709,0.179119,11.5289,1.7536,69991.5,0.2534,5.53957,24.9605
causal,1,0.28,6.472,0.185584,18.5476,2.31717,72989.3,0.2136,9.78416,28.1557
causal,2,0.28,6.42954,0.184184,16.4462,2.1865,57724.4,0.2768,8.71436,27.0783
ucb,0,0.28,5.02074,0.171273,17.4158,2.35403,87767.2,0.358,8.94226,30.5793
ucb,1,0.28,4.29365,0.176857,25.2997,3.00277,112287,0.367,12.0984,30.6352
ucb,2,0.28,3.70105,0.178138,26.7172,3.23272,155286,0.4832,14.3642,30.1049
dts,0,0.28,3.18975,0.192187,24.4544,3.02779,181143,0.578,12.4468,30.4524
dts,1,0.28,4.97724,0.17201,19.8006,2.43815,84602.6,0.3666,9.68743,32.7645
dts,2,0.28,3.13837,0.186555,29.2255,3.47149,138161,0.5618,16.0683,31.5584
gdo,0,0.28,-4.9432,0.247023,84.5776,9.07262,2.60883e+06,0.7672,45.9091,17.2649
gdo,1,0.28,-5.54003,0.244821,95.2952,10.0083,2.79979e+06,0.6924,54.1304,17.0949
gdo,2,0.28,-10.1654,0.232908,125.397,13.094,2.46463e+06,0.7728,65.132,15.3974
rss,0,0.28,1.32576,0.19509,32.1006,3.7824,433466,0.6834,16.3899,14.9934
rss,1,0.28,-4.30813,0.196757,78.0021,8.19102,1.26861e+06,0.7088,37.8784,12.9259
rss,2,0.28,-2.5748,0.196325,63.6337,6.87539,573264,0.7206,38.3043,14.1531
dqn,0,0.28,-2.54232,0.204274,59.9358,6.55769,705939,0.7498,31.9068,33.43
dqn,1,0.28,-3.61514,0.204519,73.5222,7.77559,1.18165e+06,0.7044,36.5018,36.6889
dqn,2,0.28,-2.76837,0.206075,64.4408,6.93907,656714,0.7788,36.6614,32.3586
ppo,0,0.28,-3.52681,0.206199,68.2289,7.3807,472464,0.763,35.86,15.542
ppo,1,0.28,-3.06286,0.208405,68.9593,7.31389,731428,0.7154,35.1513,14.9392
ppo,2,0.28,-3.26655,0.206375,68.7754,7.37961,654614,0.7566,38.875,16.1653
mappo,0,0.28,-6.10926,0.207482,88.3844,9.40509,817900,0.7578,47.5949,14.5085
mappo,1,0.28,-1.84126,0.204791,59.4636,6.36627,626908,0.7078,29.5262,13.7778
mappo,2,0.28,-2.94594,0.204921,66.7564,7.17487,636891,0.7548,35.8025,15.1788
cto,0,0.28,4.73593,0.180088,19.7656,2.58704,83135,0.3874,9.95331,43.3511
cto,1,0.28,4.21943,0.184666,27.7213,3.23966,106476,0.402,14.9048,43.2539
cto,2,0.28,3.31802,0.184377,31.4022,3.69527,87960,0.4922,16.5438,45.608
causal,0,0.4,4.94586,0.183854,22.2093,2.82214,299042,0.32,11.5479,25.9295
causal,1,0.4,5.30366,0.189579,26.4113,3.10132,173369,0.2624,14.7906,25.4336
causal,2,0.4,5.91511,0.186268,19.0301,2.43548,129115,0.3186,10.3606,25.3725
ucb,0,0.4,3.64119,0.181124,23.9202,2.99338,414331,0.4768,12.5835,30.2341
ucb,1,0.4,3.6133,0.18866,30.4776,3.52324,447629,0.4178,14.9994,27.6001
ucb,2,0.4,3.39445,0.178688,29.5122,3.51977,263214,0.4814,16.6851,27.2426
dts,0,0.4,1.60682,0.18378,37.8671,4.37456,318896,0.529,20.0915,26.8849
dts,1,0.4,2.89166,0.183437,32.3191,3.68782,847189,0.4756,16.9876,30.2292
dts,2,0.4,4.80037,0.183989,20.2292,2.57779,176084,0.463,10.9109,32.4914
gdo,0,0.4,-9.40609,0.240792,118.095,12.4163,7.35395e+06,0.7836,64.773,16.7288
gdo,1,0.4,-7.89036,0.241219,112.15,11.6902,7.06146e+06,0.712,62.7254,16.9329
gdo,2,0.4,-8.79685,0.237845,114.496,12.0015,5.63475e+06,0.7838,61.8487,15.2556
rss,0,0.4,-3.41082,0.194307,65.9888,7.15843,2.14129e+06,0.729,34.9261,13.6331
rss,1,0.4,-2.74699,0.198463,65.4302,6.9317,2.51945e+06,0.7086,32.2665,12.843
rss,2,0.4,-4.66478,0.196606,79.2999,8.44421,2.00985e+06,0.721,46.343,13.6826
dqn,0,0.4,-5.02473,0.205991,78.4113,8.39921,2.7512e+06,0.767,42.8873,29.9741
dqn,1,0.4,-6.95074,0.205887,98.1512,10.2361,3.40594e+06,0.7322,48.2852,30.7027
dqn,2,0.4,-5.15625,0.205822,81.7994,8.66806,2.46176e+06,0.787,44.6257,31.6103
ppo,0,0.4,-3.58675,0.2073,67.8223,7.34856,2.87798e+06,0.7612,35.9469,15.1923
ppo,1,0.4,-7.07181,0.205759,99.6934,10.3858,2.98156e+06,0.733,52.8875,14.7834
ppo,2,0.4,-4.63191,0.208318,77.4471,8.24585,2.70009e+06,0.7876,47.2596,15.071
mappo,0,0.4,-5.34628,0.20626,80.9219,8.65527,3.22819e+06,0.77,43.6711,13.8978
mappo,1,0.4,-3.13038,0.204502,70.044,7.4293,2.53661e+06,0.706,38.249,13.8651
mappo,2,0.4,-2.06012,0.20398,57.6449,6.25199,2.58534e+06,0.7802,31.4651,13.6839
cto,0,0.4,3.56709,0.179949,28.4979,3.45956,150579,0.4106,15.0684,44.8086
cto,1,0.4,4.20662,0.17926,29.9029,3.46545,133186,0.339,16.4932,46.4812
cto,2,0.4,4.18568,0.181397,26.8742,3.24064,150576,0.4366,15.0366,44.7611
