name,seed,snr_db,reward,acc,delay,energy,backlog,vio,vio_excess,sec
causal,0,0,3.81153,0.165723,22.4138,2.82133,33991.9,0.4436,11.2687,20.4731
causal,1,0,4.71495,0.172453,21.5061,2.58834,38387.5,0.3926,10.7352,19.4447
causal,2,0,4.32043,0.168692,20.5963,2.58507,36486.9,0.4524,10.3267,22.4252
ucb,0,0,3.47531,0.164728,21.8576,2.79677,36777.4,0.4806,10.6269,24.9237
ucb,1,0,3.47467,0.170247,26.416,3.10959,43979.1,0.484,13.9439,26.5982
ucb,2,0,3.45045,0.172632,22.8748,2.84573,45911.6,0.5826,12.1691,23.4965
dts,0,0,3.13542,0.180203,21.054,2.70642,45997.6,0.6068,10.619,24.8083
dts,1,0,-0.651987,0.189309,55.4562,6.01094,107662,0.6062,28.01,25.2721
dts,2,0,-1.7005,0.193453,60.4632,6.60646,69358.1,0.675,32.6997,24.3687
gdo,0,0,-24.1396,0.229056,225.297,23.1195,836916,0.882,125.316,11.8682
gdo,1,0,-25.6038,0.230081,241.27,24.5857,832799,0.848,130.032,11.7936
gdo,2,0,-28.0809,0.237679,257.857,26.3488,522029,0.8906,142.09,12.181
rss,0,0,-4.06821,0.198571,68.1378,7.37675,274062,0.7926,35.6504,11.0099
rss,1,0,-6.78195,0.200086,91.21,9.50837,428884,0.826,45.6924,10.2752
rss,2,0,-3.04267,0.199543,61.134,6.6286,162082,0.8138,34.4352,11.1652
dqn,0,0,-4.87832,0.206724,73.5267,7.91661,181351,0.8322,39.5948,24.3553
dqn,1,0,-6.66767,0.205244,92.6808,9.68494,183251,0.8022,45.9192,23.3551
dqn,2,0,-4.60965,0.207971,73.4077,7.83279,157493,0.8468,38.5648,23.4117
ppo,0,0,-5.21771,0.210068,75.0443,8.0649,218365,0.8462,40.7757,11.314
ppo,1,0,-6.59706,0.211524,90.826,9.50274,297281,0.8218,46.1215,11.1051
ppo,2,0,-5.84317,0.212021,81.5859,8.64565,255394,0.8638,44.1398,12.387
mappo,0,0,-8.93063,0.210866,105.111,11.0785,265779,0.8412,56.033,11.8766
mappo,1,0,-5.50742,0.20893,82.91,8.7116,235896,0.8136,43.9085,11.7719
mappo,2,0,-5.70962,0.208105,80.7233,8.56713,160597,0.8624,44.9322,11.7816
cto,0,0,0.0600544,0.181208,45.5255,5.15575,45351,0.622,23.8977,37.0809
cto,1,0,1.16325,0.183777,41.9111,4.65759,59092.3,0.5706,20.7372,34.9499
cto,2,0,-0.390728,0.181046,48.7213,5.4352,38737.9,0.6826,26.2763,35.2169
causal,0,2,5.36318,0.17032,16.2267,2.21283,24685.4,0.3176,7.90316,19.7301
causal,1,2,5.85983,0.179199,17.0335,2.15526,40627.4,0.308,8.00608,19.3136
