name,seed,n_users,reward,acc,delay,energy,backlog,vio,vio_excess,sec
causal,0,5,7.25827,0.198392,7.52033,1.57839,33357.6,0.3132,3.55645,16.2424
causal,1,5,8.17529,0.208258,5.26159,1.21696,31189.2,0.1928,2.1287,17.4476
causal,2,5,7.6652,0.20883,8.90891,1.75994,35146.2,0.4104,5.10184,15.4551
ucb,0,5,4.69893,0.190932,22.6824,3.10039,33802.2,0.4196,12.6391,17.0863
ucb,1,5,6.11002,0.196466,17.5603,2.41331,32903.3,0.2888,8.68748,15.8942
ucb,2,5,5.99264,0.178885,15.9054,2.41806,21618.2,0.354,9.47307,15.6237
dts,0,5,3.7897,0.199794,26.4447,3.40659,37067.8,0.4888,15.0937,15.1072
dts,1,5,5.06157,0.208005,22.7839,2.88309,39488.7,0.3744,11.119,15.6349
dts,2,5,5.34977,0.17802,20.4298,2.8316,19369.1,0.3516,12.4557,16.6407
gdo,0,5,-0.769378,0.248485,62.0363,7.02867,105738,0.586,35.7028,9.24686
gdo,1,5,0.12814,0.226541,58.7164,6.52019,74460.6,0.532,29.1682,8.60865
gdo,2,5,1.75919,0.229715,39.7577,4.79977,78416.6,0.6708,24.4292,8.93138
rss,0,5,5.28772,0.178654,10.2198,1.75972,26656.1,0.5072,4.62173,8.10711
rss,1,5,5.835,0.188299,14.3438,2.05159,27682.1,0.378,5.6658,11.0803
rss,2,5,-2.2198,0.191704,67.1083,7.43943,56163.2,0.56,42.6453,8.96065
dqn,0,5,0.550577,0.20129,44.8497,5.21823,61937.2,0.616,24.6936,17.4246
dqn,1,5,3.34438,0.203986,31.3744,3.72943,54702.1,0.4632,15.2768,17.0129
dqn,2,5,2.57272,0.207266,32.2406,3.95838,61032.2,0.6248,19.7409,16.5899
ppo,0,5,-0.579704,0.204827,53.271,6.05994,64294.9,0.624,30.7856,8.54081
ppo,1,5,2.7224,0.206701,33.1227,3.88777,63969.7,0.5176,16.6254,8.29143
ppo,2,5,2.50048,0.206231,32.646,4.00477,47858.4,0.6132,19.9514,8.6567
mappo,0,5,1.49589,0.204434,37.1888,4.45061,63581.4,0.6188,20.3345,8.20585
mappo,1,5,2.9881,0.204713,32.114,3.80341,58983.3,0.5016,14.3519,8.0157
mappo,2,5,0.137111,0.201656,50.169,5.73851,53487.6,0.6036,31.9905,7.85774
cto,0,5,5.82469,0.180169,12.5683,2.06551,25114.3,0.3628,6.67906,27.3577
cto,1,5,6.88608,0.172812,11.4366,1.81518,18204,0.1908,5.58321,27.7945
cto,2,5,5.77722,0.183155,14.6556,2.3439,22587.4,0.4124,8.67026,27.6958
causal,0,10,6.90298,0.188285,9.52285,1.55693,26708.8,0.251,4.57662,21.7793
causal,1,10,7.0221,0.190028,14.1612,1.87603,29651.1,0.1954,7.11204,21.3801
causal,2,10,7.02516,0.189988,11.3166,1.67521,28232,0.2942,5.9836,21.4169
ucb,0,10,4.34923,0.177367,23.6947,2.97971,34722.4,0.3704,12.7216,29.0884
ucb,1,10,4.6583,0.176326,23.4015,2.80254,29146.4,0.358,11.178,29.6281
ucb,2,10,3.85289,0.191453,25.2611,3.05759,40633.2,0.5414,13.2415,28.8449
dts,0,10,1.62039,0.181787,37.8853,4.38289,36825.1,0.5252,20.2222,31.3156
dts,1,10,3.45978,0.194982,26.6331,3.11662,55001.2,0.5494,13.9134,27.7846
dts,2,10,2.10837,0.190209,35.6605,4.11328,54263.9,0.5954,19.307,28.5338
gdo,0,10,-7.48139,0.247329,107.956,11.4107,231155,0.7364,60.3872,12.7248
gdo,1,10,-7.32163,0.229061,108.296,11.2892,270130,0.6766,59.0808,12.0179
gdo,2,10,-9.42765,0.23679,122.299,12.7779,229978,0.7566,64.156,11.9153
rss,0,10,0.247934,0.195675,40.7433,4.6373,123420,0.6836,20.9781,10.9955
rss,1,10,-1.38889,0.198397,57.1013,6.0975,125217,0.7014,28.7185,10.6075
rss,2,10,-2.0294,0.195836,60.7853,6.59373,80697.5,0.7042,35.7208,10.9477
dqn,0,10,-1.91704,0.204607,56.612,6.22039,106206,0.7376,30.4036,24.4071
dqn,1,10,-2.21271,0.203941,63.3385,6.75143,101717,0.7034,30.7822,24.9601
dqn,2,10,-2.24579,0.204844,61.8757,6.68603,99550.5,0.7422,33.8898,26.4299
ppo,0,10,-3.82288,0.206215,71.3416,7.69908,101307,0.7508,39.06,13.5248
ppo,1,10,-2.65514,0.206117,66.9129,7.11903,136492,0.6996,33.6632,12.4169
ppo,2,10,-0.842833,0.205775,48.6285,5.35761,119625,0.7756,26.6041,12.1557
mappo,0,10,-2.78224,0.207366,62.418,6.80097,137119,0.758,34.2616,11.2034
mappo,1,10,-3.40184,0.205396,72.7731,7.69458,109761,0.7004,35.7358,11.5541
mappo,2,10,-2.35961,0.204326,62.8606,6.77372,84405.3,0.755,34.0961,12.0617
cto,0,10,4.63326,0.181865,21.2466,2.72444,31451.1,0.3992,11.1358,44.2911
cto,1,10,2.96223,0.191215,37.3001,4.19715,49705.7,0.4376,17.8084,47.2237
cto,2,10,2.98849,0.1869,32.8104,3.84155,34647,0.5084,18.1055,45.4665
causal,0,15,6.2115,0.172356,14.5274,1.93185,20666.6,0.260267,6.87953,30.514
causal,1,15,6.22291,0.17725,18.004,2.17825,20933.5,0.2364,9.43824,27.1178
causal,2,15,5.91009,0.174951,16.462,2.0689,24264.6,0.290533,8.95209,26.3527
ucb,0,15,2.39348,0.174073,30.1923,3.49743,45471.1,0.537067,15.0579,33.9169
ucb,1,15,2.91161,0.174525,31.2017,3.50266,45253.3,0.487333,16.2282,36.2719
ucb,2,15,3.50531,0.170946,25.7567,3.00993,38068.6,0.494,13.1285,33.7728
dts,0,15,1.72998,0.177402,34.9833,3.97365,57627.4,0.572933,18.0409,34.0314
dts,1,15,0.310392,0.181368,48.5355,5.23481,71977.2,0.575333,23.3787,33.2399
dts,2,15,1.75229,0.180798,35.4307,3.98257,61649.6,0.5816,19.2443,33.5598
gdo,0,15,-12.3544,0.222622,136.356,14.1118,277608,0.8252,74.095,13.887
gdo,1,15,-15.4627,0.220842,164.67,16.8474,416823,0.806267,86.5598,13.9555
gdo,2,15,-15.7326,0.229038,164.467,16.8833,536740,0.8608,97.6349,14.0593
rss,0,15,-2.96303,0.196776,61.8071,6.64557,292591,0.7536,32.9955,13.4357
rss,1,15,-3.1475,0.188356,64.2657,6.78609,191721,0.7712,32.9429,13.5033
rss,2,15,-5.75004,0.201347,84.5602,8.86764,92949.2,0.8012,48.4284,14.7303
dqn,0,15,-6.19176,0.205771,85.8035,9.03825,233804,0.800933,45.5974,33.0855
dqn,1,15,-6.13407,0.204236,88.7237,9.23391,183258,0.7896,46.3457,32.4013
dqn,2,15,-6.04579,0.205891,85.5164,8.96222,183015,0.8276,48.2028,32.0918
ppo,0,15,-10.4065,0.207353,119.245,12.3875,212588,0.8144,63.5409,15.0099
ppo,1,15,-6.56112,0.207247,92.1165,9.57386,191354,0.789867,48.4338,16.7829
ppo,2,15,-8.9572,0.207163,108.137,11.2209,144758,0.829467,61.7921,17.3072
mappo,0,15,-6.47077,0.208444,87.5544,9.21892,193506,0.818667,46.3613,14.159
mappo,1,15,-6.43421,0.204293,91.2174,9.48708,177085,0.791067,46.7681,13.6659
mappo,2,15,-8.95146,0.204686,108.687,11.2724,125653,0.829733,60.3166,13.2081
cto,0,15,1.83487,0.182187,37.745,4.26002,47134.2,0.536,20.0309,44.3998
cto,1,15,1.84792,0.181817,40.3789,4.42867,39526,0.514533,20.5675,44.3285
cto,2,15,2.3581,0.184094,32.806,3.72258,46605.2,0.575733,18.1372,43.6972
causal,0,20,5.19647,0.163491,20.0413,2.39292,20862.1,0.3122,9.58048,32.4808
causal,1,20,5.39183,0.168483,19.4239,2.2634,26657.8,0.3027,9.89137,35.2119
causal,2,20,4.53238,0.16325,24.7312,2.80776,27535.2,0.3278,13.1417,34.0874
ucb,0,20,1.18247,0.169218,40.8765,4.47846,55317.9,0.564,19.9107,42.4008
ucb,1,20,3.59597,0.163546,24.7708,2.80208,40238.2,0.4606,13.5673,1856.56
ucb,2,20,-0.104381,0.169708,52.633,5.61638,54234.7,0.5606,29.0432,5125.17
dts,0,20,-1.65879,0.182439,59.0001,6.28811,74273.1,0.6964,29.8305,42.6843
dts,1,20,-3.28488,0.184505,69.2938,7.25505,89420.8,0.7074,37.2451,42.177
dts,2,20,-1.53829,0.182302,56.3684,5.98581,78674.3,0.7012,29.9291,45.3615
gdo,0,20,-22.5169,0.227197,215.216,21.9082,1.01624e+06,0.8843,111.322,16.2618
gdo,1,20,-24.7221,0.229194,231.769,23.5002,1.17416e+06,0.8817,130.24,16.0342
gdo,2,20,-20.0848,0.219722,192.904,19.6358,689671,0.9038,109.377,15.7254
rss,0,20,-12.6764,0.20607,131.988,13.5745,686363,0.86,71.8363,15.1606
rss,1,20,-11.6935,0.195464,122.611,12.5707,859483,0.8622,68.1685,17.076
rss,2,20,-11.232,0.200412,121.2,12.4563,246690,0.8802,70.1518,24.0438
dqn,0,20,-13.6069,0.205413,142.101,14.589,273471,0.862,73.5443,81.2786
dqn,1,20,-12.0808,0.206013,128.235,13.1352,414460,0.8649,70.8804,118.766
dqn,2,20,-14.8375,0.207116,150.771,15.415,269983,0.8828,84.7735,119.121
ppo,0,20,-12.3619,0.205222,131.315,13.5099,348937,0.8663,70.0445,51.2231
ppo,1,20,-14.2444,0.20562,144.948,14.8071,406535,0.8652,81.6477,57.0092
ppo,2,20,-14.8603,0.206331,150.403,15.3776,334684,0.8884,83.8878,37.4431
mappo,0,20,-12.9029,0.204348,136.078,13.9867,315230,0.8547,71.6033,42.9102
mappo,1,20,-12.1859,0.204258,129.545,13.2666,352030,0.8547,72.4722,42.7837
mappo,2,20,-11.8709,0.20531,126.842,13.0207,274518,0.8756,69.2896,40.4067
cto,0,20,-1.54461,0.182392,58.3819,6.22985,73373.4,0.6903,28.948,142.946
cto,1,20,-2.06955,0.1823,62.3019,6.55657,73878.4,0.6678,33.8398,137.443
cto,2,20,-1.56907,0.184404,57.6808,6.12053,69637.2,0.7071,31.1879,138.182
causal,0,25,5.33377,0.165439,17.6674,2.11682,26020.5,0.3608,8.05189,87.7313
causal,1,25,4.70576,0.16444,24.5629,2.74185,25790.2,0.30944,13.4613,81.0181
causal,2,25,4.81045,0.163336,22.2367,2.54076,27471.3,0.31016,11.947,81.115
ucb,0,25,1.31775,0.165377,36.7318,4.02256,39820.1,0.62704,19.0013,107.805
ucb,1,25,0.826387,0.162659,41.0958,4.39599,62947.1,0.57456,21.3065,101.704
ucb,2,25,1.22851,0.159764,37.9989,4.12532,36544.7,0.55576,20.1508,93.4271
dts,0,25,-2.15613,0.176968,59.5404,6.30199,74952.2,0.73504,30.7913,94.2674
dts,1,25,-2.18954,0.185702,59.2665,6.21168,101702,0.7336,31.8704,136.83
dts,2,25,-3.59842,0.183696,70.0165,7.32684,107630,0.73256,38.6541,107.634
gdo,0,25,-31.0638,0.235861,281.57,28.5059,1.77253e+06,0.92592,148.476,40.598
gdo,1,25,-31.4837,0.236823,284.889,28.7733,1.51817e+06,0.916,162.037,40.8452
gdo,2,25,-30.6345,0.232422,275.55,27.8816,1.50164e+06,0.92576,157.181,62.2749
rss,0,25,-13.0411,0.204105,132.749,13.6184,801040,0.87696,70.6756,33.5334
rss,1,25,-17.3001,0.199065,164.584,16.7348,1.39869e+06,0.87824,88.069,36.0141
rss,2,25,-18.3095,0.206655,172.076,17.5279,696474,0.92104,100.848,40.7231
dqn,0,25,-17.94,0.207348,172.429,17.5869,560435,0.89544,91.4605,118.732
dqn,1,25,-17.098,0.207039,166.122,16.8925,408600,0.88968,95.9529,99.009
dqn,2,25,-14.2528,0.206073,141.883,14.5098,406780,0.9008,79.8138,109.194
ppo,0,25,-19.6207,0.206649,186.545,19.0002,475593,0.88584,98.8487,46.6863
ppo,1,25,-15.7565,0.207438,154.842,15.766,687858,0.88976,89.1754,48.4574
ppo,2,25,-17.4695,0.207153,167.596,17.0821,450500,0.89824,95.4228,54.8453
mappo,0,25,-22.7432,0.208042,210.811,21.425,664945,0.89352,107.636,42.2723
mappo,1,25,-16.6733,0.203051,162.227,16.5065,476563,0.88704,90.2409,43.5028
mappo,2,25,-20.1422,0.204692,188.384,19.1593,464353,0.90024,103.354,41.0271
cto,0,25,-3.42694,0.185371,68.887,7.23788,116825,0.76296,34.6214,163.296
cto,1,25,-3.49686,0.186439,69.9222,7.27943,111284,0.7368,39.9014,201.715
cto,2,25,-4.25553,0.18701,73.5604,7.68231,102366,0.76064,41.7672,85.6252
