name,seed,reward,acc,delay,energy,backlog,vio,ms_per_slot,decision_ms,comm_ms,bcd_ms,update_ms,comm_uplink_B,comm_downlink_B,comm_rounds,sec
causal,0,4.80676,0.200816,1.32093,0.622991,12588.6,0.317667,1331.36,1261.42,5.928,64.0133,8.5905,200,416,1,397.716
causal,1,5.41929,0.206651,1.37723,0.461008,16053.3,0.237667,1262.74,1193.97,5.928,62.8447,8.31006,200,416,1,377.134
causal,2,5.07002,0.206083,1.40714,0.528606,14994,0.275667,1288.28,1216.98,5.928,65.3761,8.53492,200,416,1,384.793
causal,3,4.97626,0.202565,1.44354,0.541907,15222.7,0.308,1219.59,1151.98,5.928,61.6797,7.94907,200,416,1,364.18
causal,4,3.64874,0.196479,1.4407,1.16151,14164.4,0.498333,1233.46,1168.57,5.928,58.9611,8.03976,200,416,1,368.343
ucb,0,4.37909,0.197853,1.90983,0.641591,21817.8,0.346667,101.192,35.46,3.24,62.4919,0.729358,120,160,1,29.463
ucb,1,4.63296,0.202473,1.62806,0.512045,20547.7,0.352,113.676,39.2673,3.24,71.1685,0.877535,120,160,1,33.2181
ucb,2,4.50126,0.19989,1.35127,0.591237,15367.8,0.379667,118.167,39.5482,3.24,75.3792,0.885127,120,160,1,34.5704
ucb,3,4.64637,0.204831,1.48233,0.575755,18684.2,0.367667,111.688,38.8194,3.24,69.6286,0.890505,120,160,1,32.6265
ucb,4,2.39427,0.202581,2.23023,1.28408,23596.9,0.704667,100.597,39.019,3.24,58.3378,0.898314,120,160,1,29.2988
dts,0,3.91731,0.208258,2.22646,0.666752,27762.4,0.473,119.822,41.4319,3.24,75.1503,0.956682,120,160,1,35.0736
dts,1,3.8382,0.210868,2.50235,0.538596,27365.1,0.535,114.908,41.2742,3.24,70.3935,0.950594,120,160,1,33.5956
dts,2,3.46021,0.21467,2.4142,0.655391,27041.5,0.618333,113.078,40.1386,3.24,69.6998,0.89713,120,160,1,33.0459
dts,3,3.66604,0.215854,2.2398,0.623601,26584.1,0.624333,134.196,47.3039,3.24,83.6516,1.09683,120,160,1,39.4002
dts,4,2.98339,0.203747,1.9016,1.21951,20042.1,0.591,145.065,55.7963,3.24,86.0286,1.23975,120,160,1,42.6729
gdo,0,2.04595,0.255505,20.008,0.705395,343498,0.918,90.4307,0.306942,5.16,84.9637,0,320,200,1,25.7052
gdo,1,2.37038,0.257218,16.4923,0.530326,290722,0.880333,85.8484,0.293038,5.16,80.3953,0,320,200,1,24.3265
gdo,2,2.05355,0.255984,20.0469,0.591441,353316,0.918,80.4171,0.267746,5.16,74.9894,0,320,200,1,22.6864
gdo,3,2.28407,0.256523,12.6933,0.583802,212271,0.925667,78.4341,0.26399,5.16,73.0102,0,320,200,1,22.0893
gdo,4,0.971556,0.255493,19.848,1.138,354751,0.975333,73.0424,0.257007,5.16,67.6254,0,320,200,1,20.4707
rss,0,1.72948,0.212619,96.4379,0.798925,786957,0.903,63.5012,0.00734329,3.24,60.2538,0,120,160,1,18.1813
rss,1,2.79559,0.213229,57.3826,0.620088,695524,0.617,79.1647,0.00755628,3.24,75.9171,0,120,160,1,22.88
rss,2,2.19263,0.213137,24.646,0.900398,420729,0.782,104.998,0.0079298,3.24,101.75,0,120,160,1,30.6359
