name,metric,mean,std
causal,reward,4.78422,0.672997
causal,acc,0.202519,0.00415819
causal,delay,1.39791,0.050874
causal,energy,0.663205,0.284448
causal,backlog,14604.6,1312.46
causal,vio,0.327467,0.100521
causal,ms_per_slot,1267.09,44.6833
causal,decision_ms,1198.58,42.9559
causal,comm_ms,5.928,0
causal,bcd_ms,62.575,2.44181
causal,update_ms,8.28486,0.286968
causal,comm_uplink_B,200,0
causal,comm_downlink_B,416,0
causal,comm_rounds,1,0
causal,sec,378.433,13.4065
ucb,reward,4.11079,0.965713
ucb,acc,0.201526,0.00269732
ucb,delay,1.72035,0.352588
ucb,energy,0.720942,0.318183
ucb,backlog,20002.9,3151.62
ucb,vio,0.430133,0.15402
ucb,ms_per_slot,109.064,7.82128
ucb,decision_ms,38.4228,1.6786
ucb,comm_ms,3.24,0
ucb,bcd_ms,67.4012,6.87474
ucb,update_ms,0.856168,0.0712939
ucb,comm_uplink_B,120,0
ucb,comm_downlink_B,160,0
ucb,comm_rounds,1,0
ucb,sec,31.8354,2.34947
dts,reward,3.57303,0.373461
dts,acc,0.21068,0.00491593
dts,delay,2.25688,0.23046
dts,energy,0.740769,0.272286
dts,backlog,25759,3224.98
dts,vio,0.568333,0.0639323
dts,ms_per_slot,125.414,13.7577
dts,decision_ms,45.189,6.55623
dts,comm_ms,3.24,0
dts,bcd_ms,76.9848,7.51862
dts,update_ms,1.0282,0.139446
dts,comm_uplink_B,120,0
dts,comm_downlink_B,160,0
dts,comm_rounds,1,0
dts,sec,36.7576,4.1408
gdo,reward,1.9451,0.562468
gdo,acc,0.256145,0.000733888
gdo,delay,17.8177,3.23671
gdo,energy,0.709793,0.247725
gdo,backlog,310912,61072.5
gdo,vio,0.923467,0.0339678
gdo,ms_per_slot,81.6346,6.72082
gdo,decision_ms,0.277744,0.021246
gdo,comm_ms,5.16,0
gdo,bcd_ms,76.1968,6.70015
gdo,update_ms,0,0
gdo,comm_uplink_B,320,0
gdo,comm_downlink_B,200,0
gdo,comm_rounds,1,0
gdo,sec,23.0556,2.02408
rss,reward,1.88766,0.684014
rss,acc,0.214928,0.0056456
rss,delay,49.5782,31.5246
rss,energy,0.908053,0.32768
rss,backlog,502421,244696
rss,vio,0.8374,0.14541
rss,ms_per_slot,79.2172,15.618
rss,decision_ms,0.00764402,0.000260349
rss,comm_ms,3.24,0
rss,bcd_ms,75.9696,15.6178
rss,update_ms,0,0
rss,comm_uplink_B,120,0
rss,comm_downlink_B,160,0
rss,comm_rounds,1,0
rss,sec,22.8972,4.6877
dqn,reward,1.94305,1.00813
dqn,acc,0.22453,0.00118575
dqn,delay,7.01221,2.0393
dqn,energy,0.914094,0.416602
dqn,backlog,82202,27035.7
dqn,vio,0.831267,0.0662317
dqn,ms_per_slot,133.955,10.2737
dqn,decision_ms,31.8118,0.829721
dqn,comm_ms,5.48,0
dqn,bcd_ms,96.6627,9.48007
dqn,update_ms,31.06,0.800463
dqn,comm_uplink_B,360,0
dqn,comm_downlink_B,200,0
dqn,comm_rounds,1,0
dqn,sec,38.8979,2.89944
ppo,reward,2.16071,0.981255
ppo,acc,0.209505,0.00103314
ppo,delay,3.85441,0.63376
ppo,energy,0.882492,0.409058
ppo,backlog,37042.5,7330.34
ppo,vio,0.767267,0.0704783
ppo,ms_per_slot,95.0415,5.52394
ppo,decision_ms,2.53309,0.103433
ppo,comm_ms,5.48,0
ppo,bcd_ms,87.0284,5.44931
ppo,update_ms,1.3161,0.0566817
ppo,comm_uplink_B,360,0
ppo,comm_downlink_B,200,0
ppo,comm_rounds,1,0
ppo,sec,27.0181,1.65918
mappo,reward,1.56358,1.06672
mappo,acc,0.225828,0.00237562
mappo,delay,7.87112,2.45936
mappo,energy,0.932913,0.434815
mappo,backlog,88062.6,32761.6
mappo,vio,0.879067,0.0524835
mappo,ms_per_slot,90.712,2.9328
mappo,decision_ms,1.0661,0.0143111
mappo,comm_ms,3.24,0
mappo,bcd_ms,86.4059,2.93049
mappo,update_ms,0.467874,0.00671868
mappo,comm_uplink_B,120,0
mappo,comm_downlink_B,160,0
mappo,comm_rounds,1,0
mappo,sec,26.3915,0.879655
cto,reward,3.39272,0.489802
cto,acc,0.193833,0.00202565
cto,delay,1.74084,0.150348
cto,energy,0.796106,0.363891
cto,backlog,15016.6,1252.2
cto,vio,0.5676,0.0639828
cto,ms_per_slot,859.281,313.87
cto,decision_ms,758.776,305.292
cto,comm_ms,5.48,0
cto,bcd_ms,95.0241,23.824
cto,update_ms,0.807104,0.377773
cto,comm_uplink_B,360,0
cto,comm_downlink_B,200,0
cto,comm_rounds,1,0
cto,sec,256.272,94.1701
