cell_id,ue_id,distance_m
0,0,58.1
0,1,24.4
0,2,84.8
0,3,57.2
0,4,93.3
0,5,18.4
0,6,152.4
0,7,223.1
0,8,250.7
0,9,231.0
0,10,151.2
0,11,143.7
0,12,227.1
0,13,270.6
0,14,159.0
0,15,180.1
0,16,194.9
0,17,168.3
0,18,229.1
0,19,227.2
0,20,166.9
0,21,135.5
0,22,186.7
0,23,264.0
0,24,230.7
0,25,190.4
0,26,184.7
0,27,114.0
0,28,247.4
0,29,240.1
0,30,190.5
0,31,125.4
0,32,138.9
0,33,255.4
0,34,259.8
0,35,223.4
0,36,195.8
0,37,163.9
0,38,218.3
0,39,281.7
0,40,164.8
0,41,207.7
1,0,58.1
1,1,24.4
1,2,84.8
1,3,57.2
1,4,93.3
1,5,18.4
1,6,152.4
1,7,223.1
1,8,250.7
1,9,231.0
1,10,151.2
1,11,143.7
1,12,227.1
1,13,270.6
1,14,159.0
1,15,180.1
1,16,194.9
1,17,168.3
1,18,229.1
1,19,227.2
1,20,166.9
1,21,135.5
1,22,186.7
1,23,264.0
1,24,230.7
1,25,190.4
1,26,184.7
1,27,114.0
1,28,247.4
1,29,240.1
1,30,190.5
1,31,125.4
1,32,138.9
1,33,255.4
1,34,259.8
1,35,223.4
1,36,195.8
1,37,163.9
1,38,218.3
1,39,281.7
1,40,164.8
1,41,207.7
2,0,58.1
2,1,24.4
2,2,84.8
2,3,57.2
2,4,93.3
2,5,18.4
2,6,152.4
2,7,223.1
2,8,250.7
2,9,231.0
2,10,151.2
2,11,143.7
2,12,227.1
2,13,270.6
2,14,159.0
2,15,180.1
2,16,194.9
2,17,168.3
2,18,229.1
2,19,227.2
2,20,166.9
2,21,135.5
2,22,186.7
2,23,264.0
2,24,230.7
2,25,190.4
2,26,184.7
2,27,114.0
2,28,247.4
2,29,240.1
2,30,190.5
2,31,125.4
2,32,138.9
2,33,255.4
2,34,259.8
2,35,223.4
2,36,195.8
2,37,163.9
2,38,218.3
2,39,281.7
2,40,164.8
2,41,207.7
3,0,202.7
3,1,206.3
3,2,171.6
3,3,147.4
3,4,285.4
3,5,204.7
3,6,67.5
3,7,101.0
3,8,73.7
3,9,33.0
3,10,56.4
3,11,79.3
3,12,254.9
3,13,215.0
3,14,103.1
3,15,134.4
3,16,213.8
3,17,235.3
3,18,187.4
3,19,216.7
3,20,235.9
3,21,268.3
3,22,214.6
3,23,154.6
3,24,265.5
3,25,262.0
3,26,177.9
3,27,272.1
3,28,158.2
3,29,119.4
3,30,159.2
3,31,250.1
3,32,260.6
3,33,248.5
3,34,201.9
3,35,186.2
3,36,158.4
3,37,187.1
3,38,192.5
3,39,250.5
3,40,237.5
3,41,221.0
4,0,202.7
4,1,206.3
4,2,171.6
4,3,147.4
4,4,285.4
4,5,204.7
4,6,67.5
4,7,101.0
4,8,73.7
4,9,33.0
4,10,56.4
4,11,79.3
4,12,254.9
4,13,215.0
4,14,103.1
4,15,134.4
4,16,213.8
4,17,235.3
4,18,187.4
4,19,216.7
4,20,235.9
4,21,268.3
4,22,214.6
4,23,154.6
4,24,265.5
4,25,262.0
4,26,177.9
4,27,272.1
4,28,158.2
4,29,119.4
4,30,159.2
4,31,250.1
4,32,260.6
4,33,248.5
4,34,201.9
4,35,186.2
4,36,158.4
4,37,187.1
4,38,192.5
4,39,250.5
4,40,237.5
4,41,221.0
5,0,202.7
5,1,206.3
5,2,171.6
5,3,147.4
5,4,285.4
5,5,204.7
5,6,67.5
5,7,101.0
5,8,73.7
5,9,33.0
5,10,56.4
5,11,79.3
5,12,254.9
5,13,215.0
5,14,103.1
5,15,134.4
5,16,213.8
5,17,235.3
5,18,187.4
5,19,216.7
5,20,235.9
5,21,268.3
5,22,214.6
5,23,154.6
5,24,265.5
5,25,262.0
5,26,177.9
5,27,272.1
5,28,158.2
5,29,119.4
5,30,159.2
5,31,250.1
5,32,260.6
5,33,248.5
5,34,201.9
5,35,186.2
5,36,158.4
5,37,187.1
5,38,192.5
5,39,250.5
5,40,237.5
5,41,221.0
6,0,149.7
6,1,184.0
6,2,251.4
6,3,196.3
6,4,244.4
6,5,215.9
6,6,140.9
6,7,123.0
6,8,273.0
6,9,224.3
6,10,202.5
6,11,222.3
6,12,55.7
6,13,78.6
6,14,99.7
6,15,66.6
6,16,21.4
6,17,68.7
6,18,168.5
6,19,131.4
6,20,165.0
6,21,140.9
6,22,206.3
6,23,280.3
6,24,201.7
6,25,246.3
6,26,224.7
6,27,259.6
6,28,156.2
6,29,191.1
6,30,272.4
6,31,242.7
6,32,210.7
6,33,106.6
6,34,154.9
6,35,193.1
6,36,243.0
6,37,218.6
6,38,211.0
6,39,149.5
6,40,186.2
6,41,179.5
7,0,149.7
7,1,184.0
7,2,251.4
7,3,196.3
7,4,244.4
7,5,215.9
7,6,140.9
7,7,123.0
7,8,273.0
7,9,224.3
7,10,202.5
7,11,222.3
7,12,55.7
7,13,78.6
7,14,99.7
7,15,66.6
7,16,21.4
7,17,68.7
7,18,168.5
7,19,131.4
7,20,165.0
7,21,140.9
7,22,206.3
7,23,280.3
7,24,201.7
7,25,246.3
7,26,224.7
7,27,259.6
7,28,156.2
7,29,191.1
7,30,272.4
7,31,242.7
7,32,210.7
7,33,106.6
7,34,154.9
7,35,193.1
7,36,243.0
7,37,218.6
7,38,211.0
7,39,149.5
7,40,186.2
7,41,179.5
8,0,149.7
8,1,184.0
8,2,251.4
8,3,196.3
8,4,244.4
8,5,215.9
8,6,140.9
8,7,123.0
8,8,273.0
8,9,224.3
8,10,202.5
8,11,222.3
8,12,55.7
8,13,78.6
8,14,99.7
8,15,66.6
8,16,21.4
8,17,68.7
8,18,168.5
8,19,131.4
8,20,165.0
8,21,140.9
8,22,206.3
8,23,280.3
8,24,201.7
8,25,246.3
8,26,224.7
8,27,259.6
8,28,156.2
8,29,191.1
8,30,272.4
8,31,242.7
8,32,210.7
8,33,106.6
8,34,154.9
8,35,193.1
8,36,243.0
8,37,218.6
8,38,211.0
8,39,149.5
8,40,186.2
8,41,179.5
9,0,157.2
9,1,178.5
9,2,275.2
9,3,245.1
9,4,153.2
9,5,212.2
9,6,263.2
9,7,292.0
9,8,127.9
9,9,178.5
9,10,212.9
9,11,207.8
9,12,172.4
9,13,268.4
9,14,254.2
9,15,242.5
9,16,181.0
9,17,132.8
9,18,61.6
9,19,96.3
9,20,41.9
9,21,78.8
9,22,21.6
9,23,82.4
9,24,147.8
9,25,111.5
9,26,230.1
9,27,151.1
9,28,246.1
9,29,268.3
9,30,237.6
9,31,275.2
9,32,275.3
9,33,153.3
9,34,143.7
9,35,177.0
9,36,169.7
9,37,222.6
9,38,173.8
9,39,197.3
9,40,273.5
9,41,215.0
10,0,157.2
10,1,178.5
10,2,275.2
10,3,245.1
10,4,153.2
10,5,212.2
10,6,263.2
10,7,292.0
10,8,127.9
10,9,178.5
10,10,212.9
10,11,207.8
10,12,172.4
10,13,268.4
10,14,254.2
10,15,242.5
10,16,181.0
10,17,132.8
10,18,61.6
10,19,96.3
10,20,41.9
10,21,78.8
10,22,21.6
10,23,82.4
10,24,147.8
10,25,111.5
10,26,230.1
10,27,151.1
10,28,246.1
10,29,268.3
10,30,237.6
10,31,275.2
10,32,275.3
10,33,153.3
10,34,143.7
10,35,177.0
10,36,169.7
10,37,222.6
10,38,173.8
10,39,197.3
10,40,273.5
10,41,215.0
11,0,157.2
11,1,178.5
11,2,275.2
11,3,245.1
11,4,153.2
11,5,212.2
11,6,263.2
11,7,292.0
11,8,127.9
11,9,178.5
11,10,212.9
11,11,207.8
11,12,172.4
11,13,268.4
11,14,254.2
11,15,242.5
11,16,181.0
11,17,132.8
11,18,61.6
11,19,96.3
11,20,41.9
11,21,78.8
11,22,21.6
11,23,82.4
11,24,147.8
11,25,111.5
11,26,230.1
11,27,151.1
11,28,246.1
11,29,268.3
11,30,237.6
11,31,275.2
11,32,275.3
11,33,153.3
11,34,143.7
11,35,177.0
11,36,169.7
11,37,222.6
11,38,173.8
11,39,197.3
11,40,273.5
11,41,215.0
12,0,213.7
12,1,196.5
12,2,254.8
12,3,254.6
12,4,111.6
12,5,196.9
12,6,202.9
12,7,124.7
12,8,238.9
12,9,195.1
12,10,247.6
12,11,273.9
12,12,237.7
12,13,138.3
12,14,187.8
12,15,173.4
12,16,219.4
12,17,268.0
12,18,260.6
12,19,289.2
12,20,205.9
12,21,211.4
12,22,181.0
12,23,194.7
12,24,83.4
12,25,92.0
12,26,47.9
12,27,91.9
12,28,53.0
12,29,84.2
12,30,123.5
12,31,180.4
12,32,225.1
12,33,281.5
12,34,253.3
12,35,209.6
12,36,214.0
12,37,236.5
12,38,184.2
12,39,104.2
12,40,252.8
12,41,194.7
13,0,213.7
13,1,196.5
13,2,254.8
13,3,254.6
13,4,111.6
13,5,196.9
13,6,202.9
13,7,124.7
13,8,238.9
13,9,195.1
13,10,247.6
13,11,273.9
13,12,237.7
13,13,138.3
13,14,187.8
13,15,173.4
13,16,219.4
13,17,268.0
13,18,260.6
13,19,289.2
13,20,205.9
13,21,211.4
13,22,181.0
13,23,194.7
13,24,83.4
13,25,92.0
13,26,47.9
13,27,91.9
13,28,53.0
13,29,84.2
13,30,123.5
13,31,180.4
13,32,225.1
13,33,281.5
13,34,253.3
13,35,209.6
13,36,214.0
13,37,236.5
13,38,184.2
13,39,104.2
13,40,252.8
13,41,194.7
14,0,213.7
14,1,196.5
14,2,254.8
14,3,254.6
14,4,111.6
14,5,196.9
14,6,202.9
14,7,124.7
14,8,238.9
14,9,195.1
14,10,247.6
14,11,273.9
14,12,237.7
14,13,138.3
14,14,187.8
14,15,173.4
14,16,219.4
14,17,268.0
14,18,260.6
14,19,289.2
14,20,205.9
14,21,211.4
14,22,181.0
14,23,194.7
14,24,83.4
14,25,92.0
14,26,47.9
14,27,91.9
14,28,53.0
14,29,84.2
14,30,123.5
14,31,180.4
14,32,225.1
14,33,281.5
14,34,253.3
14,35,209.6
14,36,214.0
14,37,236.5
14,38,184.2
14,39,104.2
14,40,252.8
14,41,194.7
15,0,253.6
15,1,217.6
15,2,176.6
15,3,219.2
15,4,194.1
15,5,184.6
15,6,256.7
15,7,225.0
15,8,167.3
15,9,169.8
15,10,252.0
15,11,268.2
15,12,145.8
15,13,214.8
15,14,275.6
15,15,266.1
15,16,187.7
15,17,184.6
15,18,140.3
15,19,122.2
15,20,202.8
15,21,218.4
15,22,219.5
15,23,236.0
15,24,279.8
15,25,268.8
15,26,153.2
15,27,196.5
15,28,208.4
15,29,157.6
15,30,79.8
15,31,75.7
15,32,86.8
15,33,98.1
15,34,63.9
15,35,25.0
15,36,235.2
15,37,182.3
15,38,226.7
15,39,248.9
15,40,127.6
15,41,186.6
16,0,253.6
16,1,217.6
16,2,176.6
16,3,219.2
16,4,194.1
16,5,184.6
16,6,256.7
16,7,225.0
16,8,167.3
16,9,169.8
16,10,252.0
16,11,268.2
16,12,145.8
16,13,214.8
16,14,275.6
16,15,266.1
16,16,187.7
16,17,184.6
16,18,140.3
16,19,122.2
16,20,202.8
16,21,218.4
16,22,219.5
16,23,236.0
16,24,279.8
16,25,268.8
16,26,153.2
16,27,196.5
16,28,208.4
16,29,157.6
16,30,79.8
16,31,75.7
16,32,86.8
16,33,98.1
16,34,63.9
16,35,25.0
16,36,235.2
16,37,182.3
16,38,226.7
16,39,248.9
16,40,127.6
16,41,186.6
17,0,253.6
17,1,217.6
17,2,176.6
17,3,219.2
17,4,194.1
17,5,184.6
17,6,256.7
17,7,225.0
17,8,167.3
17,9,169.8
17,10,252.0
17,11,268.2
17,12,145.8
17,13,214.8
17,14,275.6
17,15,266.1
17,16,187.7
17,17,184.6
17,18,140.3
17,19,122.2
17,20,202.8
17,21,218.4
17,22,219.5
17,23,236.0
17,24,279.8
17,25,268.8
17,26,153.2
17,27,196.5
17,28,208.4
17,29,157.6
17,30,79.8
17,31,75.7
17,32,86.8
17,33,98.1
17,34,63.9
17,35,25.0
17,36,235.2
17,37,182.3
17,38,226.7
17,39,248.9
17,40,127.6
17,41,186.6
18,0,249.1
18,1,222.1
18,2,116.0
18,3,162.7
18,4,259.3
18,5,188.8
18,6,218.9
18,7,245.9
18,8,183.8
18,9,210.0
18,10,158.2
18,11,132.5
18,12,186.2
18,13,138.2
18,14,256.8
18,15,237.5
18,16,207.2
18,17,247.3
18,18,243.4
18,19,250.8
18,20,237.2
18,21,269.4
18,22,195.9
18,23,122.5
18,24,124.9
18,25,157.0
18,26,247.2
18,27,241.4
18,28,205.3
18,29,263.4
18,30,259.6
18,31,170.0
18,32,127.1
18,33,193.6
18,34,217.8
18,35,215.8
18,36,45.4
18,37,37.4
18,38,28.2
18,39,102.2
18,40,74.4
18,41,22.9
19,0,249.1
19,1,222.1
19,2,116.0
19,3,162.7
19,4,259.3
19,5,188.8
19,6,218.9
19,7,245.9
19,8,183.8
19,9,210.0
19,10,158.2
19,11,132.5
19,12,186.2
19,13,138.2
19,14,256.8
19,15,237.5
19,16,207.2
19,17,247.3
19,18,243.4
19,19,250.8
19,20,237.2
19,21,269.4
19,22,195.9
19,23,122.5
19,24,124.9
19,25,157.0
19,26,247.2
19,27,241.4
19,28,205.3
19,29,263.4
19,30,259.6
19,31,170.0
19,32,127.1
19,33,193.6
19,34,217.8
19,35,215.8
19,36,45.4
19,37,37.4
19,38,28.2
19,39,102.2
19,40,74.4
19,41,22.9
20,0,249.1
20,1,222.1
20,2,116.0
20,3,162.7
20,4,259.3
20,5,188.8
20,6,218.9
20,7,245.9
20,8,183.8
20,9,210.0
20,10,158.2
20,11,132.5
20,12,186.2
20,13,138.2
20,14,256.8
20,15,237.5
20,16,207.2
20,17,247.3
20,18,243.4
20,19,250.8
20,20,237.2
20,21,269.4
20,22,195.9
20,23,122.5
20,24,124.9
20,25,157.0
20,26,247.2
20,27,241.4
20,28,205.3
20,29,263.4
20,30,259.6
20,31,170.0
20,32,127.1
20,33,193.6
20,34,217.8
20,35,215.8
20,36,45.4
20,37,37.4
20,38,28.2
20,39,102.2
20,40,74.4
20,41,22.9
