cell_id,ue_id,distance_m
0,0,58.1
0,1,24.4
0,2,84.8
0,3,57.2
0,4,93.3
0,5,18.4
0,6,152.4
0,7,223.1
0,8,250.7
0,9,231.0
0,10,151.2
0,11,143.7
0,12,227.1
0,13,270.6
0,14,159.0
0,15,180.1
0,16,194.9
0,17,168.3
0,18,229.1
0,19,227.2
0,20,166.9
0,21,135.5
0,22,186.7
0,23,264.0
0,24,230.7
0,25,190.4
0,26,184.7
0,27,114.0
0,28,247.4
0,29,240.1
0,30,190.5
0,31,125.4
0,32,138.9
0,33,255.4
0,34,259.8
0,35,223.4
0,36,195.8
0,37,163.9
0,38,218.3
0,39,281.7
0,40,164.8
0,41,207.7
1,0,202.7
1,1,206.3
1,2,171.6
1,3,147.4
1,4,285.4
1,5,204.7
1,6,67.5
1,7,101.0
1,8,73.7
1,9,33.0
1,10,56.4
1,11,79.3
1,12,254.9
1,13,215.0
1,14,103.1
1,15,134.4
1,16,213.8
1,17,235.3
1,18,187.4
1,19,216.7
1,20,235.9
1,21,268.3
1,22,214.6
1,23,154.6
1,24,265.5
1,25,262.0
1,26,177.9
1,27,272.1
1,28,158.2
1,29,119.4
1,30,159.2
1,31,250.1
1,32,260.6
1,33,248.5
1,34,201.9
1,35,186.2
1,36,158.4
1,37,187.1
1,38,192.5
1,39,250.5
1,40,237.5
1,41,221.0
2,0,149.7
2,1,184.0
2,2,251.4
2,3,196.3
2,4,244.4
2,5,215.9
2,6,140.9
2,7,123.0
2,8,273.0
2,9,224.3
2,10,202.5
2,11,222.3
2,12,55.7
2,13,78.6
2,14,99.7
2,15,66.6
2,16,21.4
2,17,68.7
2,18,168.5
2,19,131.4
2,20,165.0
2,21,140.9
2,22,206.3
2,23,280.3
2,24,201.7
2,25,246.3
2,26,224.7
2,27,259.6
2,28,156.2
2,29,191.1
2,30,272.4
2,31,242.7
2,32,210.7
2,33,106.6
2,34,154.9
2,35,193.1
2,36,243.0
2,37,218.6
2,38,211.0
2,39,149.5
2,40,186.2
2,41,179.5
3,0,157.2
3,1,178.5
3,2,275.2
3,3,245.1
3,4,153.2
3,5,212.2
3,6,263.2
3,7,292.0
3,8,127.9
3,9,178.5
3,10,212.9
3,11,207.8
3,12,172.4
3,13,268.4
3,14,254.2
3,15,242.5
3,16,181.0
3,17,132.8
3,18,61.6
3,19,96.3
3,20,41.9
3,21,78.8
3,22,21.6
3,23,82.4
3,24,147.8
3,25,111.5
3,26,230.1
3,27,151.1
3,28,246.1
3,29,268.3
3,30,237.6
3,31,275.2
3,32,275.3
3,33,153.3
3,34,143.7
3,35,177.0
3,36,169.7
3,37,222.6
3,38,173.8
3,39,197.3
3,40,273.5
3,41,215.0
4,0,213.7
4,1,196.5
4,2,254.8
4,3,254.6
4,4,111.6
4,5,196.9
4,6,202.9
4,7,124.7
4,8,238.9
4,9,195.1
4,10,247.6
4,11,273.9
4,12,237.7
4,13,138.3
4,14,187.8
4,15,173.4
4,16,219.4
4,17,268.0
4,18,260.6
4,19,289.2
4,20,205.9
4,21,211.4
4,22,181.0
4,23,194.7
4,24,83.4
4,25,92.0
4,26,47.9
4,27,91.9
4,28,53.0
4,29,84.2
4,30,123.5
4,31,180.4
4,32,225.1
4,33,281.5
4,34,253.3
4,35,209.6
4,36,214.0
4,37,236.5
4,38,184.2
4,39,104.2
4,40,252.8
4,41,194.7
5,0,253.6
5,1,217.6
5,2,176.6
5,3,219.2
5,4,194.1
5,5,184.6
5,6,256.7
5,7,225.0
5,8,167.3
5,9,169.8
5,10,252.0
5,11,268.2
5,12,145.8
5,13,214.8
5,14,275.6
5,15,266.1
5,16,187.7
5,17,184.6
5,18,140.3
5,19,122.2
5,20,202.8
5,21,218.4
5,22,219.5
5,23,236.0
5,24,279.8
5,25,268.8
5,26,153.2
5,27,196.5
5,28,208.4
5,29,157.6
5,30,79.8
5,31,75.7
5,32,86.8
5,33,98.1
5,34,63.9
5,35,25.0
5,36,235.2
5,37,182.3
5,38,226.7
5,39,248.9
5,40,127.6
5,41,186.6
6,0,249.1
6,1,222.1
6,2,116.0
6,3,162.7
6,4,259.3
6,5,188.8
6,6,218.9
6,7,245.9
6,8,183.8
6,9,210.0
6,10,158.2
6,11,132.5
6,12,186.2
6,13,138.2
6,14,256.8
6,15,237.5
6,16,207.2
6,17,247.3
6,18,243.4
6,19,250.8
6,20,237.2
6,21,269.4
6,22,195.9
6,23,122.5
6,24,124.9
6,25,157.0
6,26,247.2
6,27,241.4
6,28,205.3
6,29,263.4
6,30,259.6
6,31,170.0
6,32,127.1
6,33,193.6
6,34,217.8
6,35,215.8
6,36,45.4
6,37,37.4
6,38,28.2
6,39,102.2
6,40,74.4
6,41,22.9
