cell_id,ue_id,distance_m
0,0,79.9
0,1,92.1
0,2,70.1
0,3,41.7
0,4,35.6
0,5,88.8
0,6,207.0
0,7,165.6
0,8,262.8
0,9,263.0
0,10,118.1
0,11,162.2
0,12,209.9
0,13,299.8
0,14,212.8
0,15,264.2
0,16,169.3
0,17,162.7
0,18,223.8
0,19,292.4
0,20,174.7
0,21,128.4
0,22,218.9
0,23,245.2
0,24,125.5
0,25,267.2
0,26,156.1
0,27,182.9
0,28,259.8
0,29,265.4
0,30,144.9
0,31,183.8
0,32,183.4
0,33,204.5
0,34,250.8
0,35,249.1
0,36,141.5
0,37,158.7
0,38,219.1
0,39,258.6
0,40,135.4
0,41,221.5
1,0,79.9
1,1,92.1
1,2,70.1
1,3,41.7
1,4,35.6
1,5,88.8
1,6,207.0
1,7,165.6
1,8,262.8
1,9,263.0
1,10,118.1
1,11,162.2
1,12,209.9
1,13,299.8
1,14,212.8
1,15,264.2
1,16,169.3
1,17,162.7
1,18,223.8
1,19,292.4
1,20,174.7
1,21,128.4
1,22,218.9
1,23,245.2
1,24,125.5
1,25,267.2
1,26,156.1
1,27,182.9
1,28,259.8
1,29,265.4
1,30,144.9
1,31,183.8
1,32,183.4
1,33,204.5
1,34,250.8
1,35,249.1
1,36,141.5
1,37,158.7
1,38,219.1
1,39,258.6
1,40,135.4
1,41,221.5
2,0,79.9
2,1,92.1
2,2,70.1
2,3,41.7
2,4,35.6
2,5,88.8
2,6,207.0
2,7,165.6
2,8,262.8
2,9,263.0
2,10,118.1
2,11,162.2
2,12,209.9
2,13,299.8
2,14,212.8
2,15,264.2
2,16,169.3
2,17,162.7
2,18,223.8
2,19,292.4
2,20,174.7
2,21,128.4
2,22,218.9
2,23,245.2
2,24,125.5
2,25,267.2
2,26,156.1
2,27,182.9
2,28,259.8
2,29,265.4
2,30,144.9
2,31,183.8
2,32,183.4
2,33,204.5
2,34,250.8
2,35,249.1
2,36,141.5
2,37,158.7
2,38,219.1
2,39,258.6
2,40,135.4
2,41,221.5
3,0,146.2
