cell_id,ue_id,distance_m
0,0,79.9
0,1,92.1
0,2,70.1
0,3,41.7
0,4,35.6
0,5,88.8
0,6,207.0
0,7,165.6
0,8,262.8
0,9,263.0
0,10,118.1
0,11,162.2
0,12,209.9
0,13,299.8
0,14,212.8
0,15,264.2
0,16,169.3
0,17,162.7
0,18,223.8
0,19,292.4
0,20,174.7
0,21,128.4
0,22,218.9
0,23,245.2
0,24,125.5
0,25,267.2
0,26,156.1
0,27,182.9
0,28,259.8
0,29,265.4
0,30,144.9
0,31,183.8
0,32,183.4
0,33,204.5
0,34,250.8
0,35,249.1
0,36,141.5
0,37,158.7
0,38,219.1
0,39,258.6
0,40,135.4
0,41,221.5
1,0,146.2
1,1,223.1
1,2,158.8
1,3,181.6
1,4,207.9
1,5,261.7
1,6,104.8
1,7,67.0
1,8,86.6
1,9,85.3
1,10,100.0
1,11,73.1
1,12,241.4
1,13,232.6
1,14,196.1
1,15,194.2
1,16,258.4
1,17,177.3
1,18,178.6
1,19,112.3
1,20,240.7
1,21,247.0
1,22,223.8
1,23,191.2
1,24,297.0
1,25,236.2
1,26,206.3
1,27,170.6
1,28,192.7
1,29,168.1
1,30,209.4
1,31,168.8
1,32,233.8
1,33,204.6
1,34,104.8
1,35,127.8
1,36,129.8
1,37,145.1
1,38,184.6
1,39,226.7
1,40,225.4
1,41,253.8
2,0,129.9
2,1,131.9
2,2,228.3
2,3,222.0
2,4,232.6
2,5,270.6
2,6,106.9
2,7,135.3
2,8,233.9
2,9,229.1
2,10,131.5
2,11,234.2
2,12,45.0
2,13,107.5
2,14,19.6
2,15,83.1
2,16,95.8
2,17,39.4
2,18,196.3
2,19,238.6
2,20,135.8
2,21,120.6
2,22,252.1
2,23,262.2
2,24,242.0
2,25,152.0
2,26,248.6
2,27,235.5
2,28,141.8
2,29,106.0
2,30,266.5
2,31,268.5
2,32,188.0
2,33,191.7
2,34,255.3
2,35,240.4
2,36,264.5
2,37,257.7
2,38,220.2
2,39,189.2
2,40,213.6
2,41,147.6
3,0,204.7
3,1,126.8
3,2,268.0
3,3,241.0
3,4,228.3
3,5,198.0
3,6,288.6
3,7,265.9
3,8,200.8
3,9,205.1
3,10,247.4
3,11,189.3
3,12,166.8
3,13,239.7
3,14,217.3
3,15,268.1
3,16,105.1
3,17,191.2
3,18,31.6
3,19,99.1
3,20,65.0
3,21,100.1
3,22,94.9
3,23,91.3
3,24,117.7
3,25,196.8
3,26,208.7
3,27,244.5
3,28,224.6
3,29,264.2
3,30,263.8
3,31,236.2
3,32,220.9
3,33,196.2
3,34,191.8
3,35,169.5
3,36,209.1
3,37,198.9
3,38,165.4
3,39,167.5
3,40,284.1
3,41,241.8
4,0,267.2
4,1,217.2
4,2,254.2
4,3,224.7
4,4,198.2
4,5,117.7
4,6,139.8
4,7,188.1
4,8,147.9
4,9,144.3
4,10,231.0
4,11,271.8
4,12,237.1
4,13,125.6
4,14,183.1
4,15,121.7
4,16,265.6
4,17,215.7
4,18,229.3
4,19,250.1
4,20,237.3
4,21,228.0
4,22,125.4
4,23,156.3
4,24,105.1
4,25,85.2
4,26,55.4
4,27,66.7
4,28,61.7
4,29,95.0
4,30,139.9
4,31,132.2
4,32,217.0
4,33,208.6
4,34,155.0
4,35,181.6
4,36,271.6
4,37,249.5
4,38,185.9
4,39,142.4
4,40,256.6
4,41,192.7
5,0,275.5
5,1,254.9
5,2,194.2
5,3,184.9
5,4,168.6
5,5,150.2
5,6,243.2
5,7,248.1
5,8,121.2
5,9,125.0
5,10,293.3
5,11,253.7
5,12,160.6
5,13,221.3
5,14,205.7
5,15,236.8
5,16,177.7
5,17,227.3
5,18,171.6
5,19,140.5
5,20,179.4
5,21,219.3
5,22,286.8
5,23,268.8
5,24,230.1
5,25,265.4
5,26,154.5
5,27,134.5
5,28,246.7
5,29,257.0
5,30,72.8
5,31,69.2
5,32,34.8
5,33,12.0
5,34,99.3
5,35,73.4
5,36,223.7
5,37,218.8
5,38,235.0
5,39,243.1
5,40,125.4
5,41,166.5
6,0,225.6
6,1,284.4
6,2,134.2
6,3,159.4
6,4,174.4
6,5,237.9
6,6,244.9
6,7,231.5
6,8,270.4
6,9,271.5
6,10,216.0
6,11,129.7
6,12,200.0
6,13,115.0
6,14,188.3
6,15,154.9
6,16,264.0
6,17,238.0
6,18,208.5
6,19,206.6
6,20,264.6
6,21,292.4
6,22,129.7
6,23,112.5
6,24,221.6
6,25,120.7
6,26,249.6
6,27,266.1
6,28,163.6
6,29,178.9
6,30,216.2
6,31,247.2
6,32,166.6
6,33,196.0
6,34,279.2
6,35,272.8
6,36,82.9
6,37,60.9
6,38,35.9
6,39,59.9
6,40,90.6
6,41,55.7
