mcs_index,modulation,qm,code_rate,spectral_efficiency
0,QPSK,2,0.117188,0.234375
1,QPSK,2,0.153320,0.306641
2,QPSK,2,0.188477,0.376953
3,QPSK,2,0.245117,0.490234
4,QPSK,2,0.300781,0.601562
5,QPSK,2,0.370117,0.740234
6,QPSK,2,0.438477,0.876953
7,QPSK,2,0.513672,1.027344
8,QPSK,2,0.587891,1.175781
9,QPSK,2,0.663086,1.326172
10,16QAM,4,0.332031,1.328125
11,16QAM,4,0.369141,1.476562
12,16QAM,4,0.423828,1.695312
13,16QAM,4,0.478516,1.914062
14,16QAM,4,0.540039,2.160156
15,16QAM,4,0.601562,2.406250
16,16QAM,4,0.642578,2.570312
17,64QAM,6,0.427734,2.566406
18,64QAM,6,0.455078,2.730469
19,64QAM,6,0.504883,3.029297
20,64QAM,6,0.553711,3.322266
21,64QAM,6,0.601562,3.609375
22,64QAM,6,0.650391,3.902344
23,64QAM,6,0.702148,4.212891
24,64QAM,6,0.753906,4.523438
25,64QAM,6,0.802734,4.816406
26,64QAM,6,0.852539,5.115234
27,64QAM,6,0.888672,5.332031
28,64QAM,6,0.925781,5.554688
