slot,cell_id,ue_id,sinr_db,se_bps_hz,n_layers
0,0,0,3.91,5.7480,2
0,0,1,13.83,11.7527,2
0,0,2,3.10,4.0958,2
0,0,3,18.39,17.5487,2
0,0,4,-1.28,1.7451,2
0,0,5,17.18,14.3395,2
0,0,6,-17.70,0.0486,2
0,0,7,-14.05,0.1114,2
0,0,8,-13.24,0.1337,2
0,0,9,-20.94,0.0231,2
0,0,10,-1.73,1.9519,2
0,0,11,-5.60,0.7212,2
0,0,12,-6.32,0.6116,2
0,0,13,-20.90,0.0233,2
0,0,14,-31.61,0.0020,2
0,0,15,-20.18,0.0276,2
0,0,16,-10.39,0.2534,2
0,0,17,-27.19,0.0055,2
0,0,18,-14.36,0.1039,2
0,0,19,-18.33,0.0420,2
0,0,20,-8.51,0.3825,2
0,0,21,-14.49,0.1008,2
0,0,22,-13.91,0.1150,2
0,0,23,-20.48,0.0257,2
0,0,24,-6.54,0.5893,2
0,0,25,-11.27,0.2082,2
0,0,26,-11.18,0.2122,2
0,0,27,-0.38,2.5240,2
0,0,28,5.33,6.8091,2
0,0,29,-5.49,0.7235,2
0,0,30,-20.55,0.0253,2
0,0,31,-7.16,0.5143,2
0,0,32,-5.48,0.7483,2
0,0,33,-16.64,0.0619,2
0,0,34,-18.44,0.0410,2
0,0,35,-15.82,0.0746,2
0,0,36,-15.61,0.0782,2
0,0,37,-2.54,1.4685,2
0,0,38,-20.68,0.0246,2
0,0,39,-9.60,0.3016,2
0,0,40,-2.75,1.3121,2
0,0,41,-21.36,0.0210,2
0,1,0,-1.59,1.5637,2
0,1,1,-20.52,0.0255,2
0,1,2,5.84,4.7848,2
0,1,3,2.70,5.4892,2
0,1,4,-6.96,0.5353,2
0,1,5,-12.71,0.1506,2
0,1,6,-1.08,2.5604,2
0,1,7,2.19,3.7449,2
0,1,8,0.74,5.4866,2
0,1,9,14.23,10.6181,2
0,1,10,1.58,10.4563,2
0,1,11,1.06,4.3368,2
0,1,12,-4.20,0.9847,2
0,1,13,-7.48,0.4786,2
0,1,14,-0.24,2.7026,2
0,1,15,-3.52,1.1033,2
0,1,16,-3.87,1.0317,2
0,1,17,-15.03,0.0893,2
0,1,18,-7.14,0.5143,2
0,1,19,-20.30,0.0268,2
0,1,20,-9.68,0.2956,2
0,1,21,-10.58,0.2428,2
0,1,22,-12.42,0.1610,2
0,1,23,-11.94,0.1791,2
0,1,24,11.84,8.4516,2
0,1,25,-8.71,0.3672,2
0,1,26,-15.47,0.0808,2
0,1,27,-31.39,0.0021,2
0,1,28,12.45,13.2741,2
0,1,29,-0.15,2.1222,2
0,1,30,-20.59,0.0251,2
0,1,31,-12.32,0.1644,2
0,1,32,-4.46,0.9272,2
0,1,33,-15.53,0.0797,2
0,1,34,-10.08,0.2711,2
0,1,35,2.13,3.2345,2
0,1,36,-3.36,1.2286,2
0,1,37,-1.22,2.0335,2
0,1,38,-14.56,0.0994,2
0,1,39,-16.89,0.0585,2
0,1,40,-6.83,0.5481,2
0,1,41,-12.38,0.1622,2
0,2,0,-16.01,0.0714,2
0,2,1,-18.69,0.0388,2
0,2,2,-13.55,0.1248,2
0,2,3,-14.45,0.1018,2
0,2,4,-33.56,0.0013,2
0,2,5,-36.33,0.0007,2
0,2,6,-21.33,0.0212,2
0,2,7,-5.71,0.7018,2
0,2,8,-28.01,0.0046,2
0,2,9,-6.07,0.6563,2
0,2,10,-23.58,0.0126,2
0,2,11,-11.73,0.1877,2
0,2,12,-0.16,5.3558,2
0,2,13,-8.93,0.3499,2
0,2,14,-6.42,0.6076,2
0,2,15,-5.41,0.7561,2
0,2,16,1.63,4.6632,2
0,2,17,-31.93,0.0019,2
0,2,18,-9.46,0.3115,2
0,2,19,-5.90,0.6696,2
0,2,20,-12.54,0.1566,2
0,2,21,-9.26,0.3246,2
0,2,22,-24.85,0.0094,2
0,2,23,-13.27,0.1327,2
0,2,24,-11.00,0.2209,2
0,2,25,-30.67,0.0025,2
0,2,26,-27.39,0.0053,2
0,2,27,-39.23,0.0003,2
0,2,28,6.62,11.8830,2
0,2,29,-7.42,0.4849,2
0,2,30,-21.05,0.0226,2
0,2,31,-18.32,0.0421,2
0,2,32,-12.90,0.1446,2
0,2,33,-22.37,0.0167,2
0,2,34,-28.45,0.0041,2
0,2,35,-7.80,0.4491,2
0,2,36,-4.43,0.9419,2
0,2,37,-9.59,0.3020,2
0,2,38,-31.14,0.0022,2
0,2,39,-1.09,1.9343,2
0,2,40,-32.57,0.0016,2
0,2,41,-20.38,0.0263,2
0,3,0,-25.69,0.0078,2
0,3,1,-17.34,0.0528,2
0,3,2,-17.92,0.0462,2
0,3,3,-3.59,1.0680,2
0,3,4,-27.69,0.0049,2
0,3,5,-25.18,0.0087,2
0,3,6,-29.59,0.0032,2
0,3,7,-28.26,0.0043,2
0,3,8,-8.17,0.4127,2
0,3,9,-9.83,0.2870,2
0,3,10,-27.61,0.0050,2
0,3,11,-31.17,0.0022,2
0,3,12,-6.11,0.6434,2
0,3,13,-13.56,0.1245,2
0,3,14,-16.78,0.0600,2
0,3,15,-29.07,0.0036,2
0,3,16,-25.59,0.0080,2
0,3,17,-31.33,0.0021,2
0,3,18,-11.05,0.2186,2
0,3,19,-15.95,0.0724,2
0,3,20,4.60,5.7432,2
0,3,21,-8.44,0.3896,2
0,3,22,18.39,15.4383,2
0,3,23,-15.08,0.0882,2
0,3,24,11.09,9.4660,2
0,3,25,11.83,9.3902,2
0,3,26,-13.67,0.1214,2
0,3,27,-18.60,0.0396,2
0,3,28,-5.11,0.8001,2
0,3,29,-17.65,0.0491,2
0,3,30,-31.65,0.0020,2
0,3,31,-21.87,0.0187,2
0,3,32,-13.73,0.1199,2
0,3,33,-20.30,0.0268,2
0,3,34,-41.98,0.0002,2
0,3,35,-11.19,0.2119,2
0,3,36,-1.69,1.9481,2
0,3,37,-8.55,0.3795,2
0,3,38,6.24,5.9009,2
0,3,39,0.78,3.8796,2
0,3,40,-35.17,0.0009,2
0,3,41,-13.45,0.1276,2
0,4,0,-26.14,0.0070,2
0,4,1,-17.93,0.0461,2
0,4,2,-23.23,0.0137,2
0,4,3,-4.27,0.9807,2
0,4,4,-25.40,0.0083,2
0,4,5,-25.30,0.0085,2
0,4,6,-8.31,0.4012,2
0,4,7,2.82,5.7833,2
0,4,8,-20.07,0.0282,2
0,4,9,-30.96,0.0023,2
0,4,10,-16.79,0.0598,2
0,4,11,-29.77,0.0030,2
0,4,12,-5.54,0.7360,2
0,4,13,-14.91,0.0917,2
0,4,14,-16.80,0.0596,2
