slot,cell_id,ue_id,sinr_db,se_bps_hz,n_layers
0,0,0,-5.62,0.3496,2
0,0,1,13.82,4.6482,2
0,0,2,-29.60,0.0016,2
0,0,3,-23.08,0.0071,2
0,0,4,8.86,3.1189,2
0,0,5,0.53,1.0907,2
0,0,6,-33.53,0.0006,2
0,0,7,-7.22,0.2505,2
0,0,8,-45.83,0.0000,2
0,0,9,-18.44,0.0205,2
0,0,10,-19.32,0.0168,2
0,0,11,11.64,3.9619,2
0,0,12,-14.56,0.0496,2
0,0,13,-20.42,0.0130,2
0,0,14,-16.10,0.0350,2
0,0,15,-21.42,0.0104,2
0,0,16,-20.01,0.0143,2
0,0,17,-10.03,0.1367,2
0,0,18,-10.45,0.1246,2
0,0,19,-38.45,0.0002,2
0,0,20,11.19,3.8243,2
0,0,21,3.64,1.7276,2
0,0,22,-25.98,0.0036,2
0,0,23,3.98,1.8082,2
0,0,24,-9.58,0.1509,2
0,0,25,-32.70,0.0008,2
0,0,26,-4.37,0.4500,2
0,0,27,-26.98,0.0029,2
0,0,28,-24.32,0.0053,2
0,0,29,-10.68,0.1184,2
0,0,30,-3.85,0.4982,2
0,0,31,-47.45,0.0000,2
0,0,32,-35.36,0.0004,2
0,0,33,-36.42,0.0003,2
0,0,34,-37.83,0.0002,2
0,0,35,-39.16,0.0002,2
0,0,36,-7.62,0.2304,2
0,0,37,-28.77,0.0019,2
0,0,38,-23.18,0.0069,2
0,0,39,-42.19,0.0001,2
0,0,40,-47.78,0.0000,2
0,0,41,-50.54,0.0000,2
0,1,0,9.54,3.3202,2
0,1,1,-31.53,0.0010,2
0,1,2,51.76,17.1952,2
0,1,3,-0.03,0.9948,2
0,1,4,13.29,4.4803,2
0,1,5,-27.76,0.0024,2
0,1,6,-12.44,0.0801,2
0,1,7,30.23,10.0427,2
0,1,8,-24.22,0.0055,2
0,1,9,-15.93,0.0364,2
0,1,10,-1.71,0.7440,2
0,1,11,-0.38,0.9384,2
0,1,12,-26.41,0.0033,2
0,1,13,-17.08,0.0280,2
0,1,14,-21.00,0.0114,2
0,1,15,-20.06,0.0142,2
0,1,16,-17.00,0.0285,2
0,1,17,-26.84,0.0030,2
0,1,18,-13.61,0.0615,2
0,1,19,-1.23,0.8103,2
0,1,20,-1.58,0.7617,2
0,1,21,-34.14,0.0006,2
0,1,22,-46.86,0.0000,2
0,1,23,-30.00,0.0014,2
0,1,24,-31.05,0.0011,2
0,1,25,-32.05,0.0009,2
0,1,26,-28.82,0.0019,2
0,1,27,-21.03,0.0113,2
0,1,28,-42.68,0.0001,2
0,1,29,-29.77,0.0015,2
0,1,30,9.53,3.3170,2
0,1,31,-20.82,0.0119,2
0,1,32,-31.95,0.0009,2
0,1,33,-15.84,0.0371,2
0,1,34,-39.30,0.0002,2
0,1,35,-18.57,0.0199,2
0,1,36,2.09,1.3892,2
0,1,37,-5.76,0.3399,2
0,1,38,-5.67,0.3456,2
0,1,39,-25.80,0.0038,2
0,1,40,11.42,3.8939,2
0,1,41,-18.31,0.0211,2
0,2,0,-27.54,0.0025,2
0,2,1,-4.08,0.4762,2
0,2,2,-23.38,0.0066,2
0,2,3,-8.80,0.1785,2
0,2,4,20.46,6.8095,2
0,2,5,-0.37,0.9391,2
0,2,6,-48.45,0.0000,2
0,2,7,-17.48,0.0256,2
0,2,8,-3.48,0.5347,2
0,2,9,-22.25,0.0086,2
0,2,10,-30.89,0.0012,2
0,2,11,-13.16,0.0681,2
0,2,12,-56.01,0.0000,2
0,2,13,-28.36,0.0021,2
0,2,14,-39.86,0.0001,2
0,2,15,-49.28,0.0000,2
0,2,16,-32.51,0.0008,2
0,2,17,-43.40,0.0001,2
0,2,18,-25.33,0.0042,2
0,2,19,-58.82,0.0000,2
0,2,20,24.70,8.2099,2
0,2,21,-36.14,0.0004,2
0,2,22,-16.79,0.0299,2
0,2,23,-9.24,0.1623,2
0,2,24,-1.98,0.7086,2
0,2,25,-28.31,0.0021,2
0,2,26,-14.02,0.0560,2
0,2,27,-12.10,0.0863,2
0,2,28,-25.30,0.0042,2
0,2,29,-58.10,0.0000,2
0,2,30,1.13,1.1992,2
0,2,31,-11.89,0.0905,2
0,2,32,-17.74,0.0241,2
0,2,33,-21.02,0.0114,2
0,2,34,-4.04,0.4793,2
0,2,35,-8.15,0.2056,2
0,2,36,-43.91,0.0001,2
0,2,37,-5.68,0.3451,2
0,2,38,-39.81,0.0002,2
0,2,39,-26.32,0.0034,2
0,2,40,-5.75,0.3402,2
0,2,41,-26.90,0.0029,2
0,3,0,-15.65,0.0388,2
0,3,1,-39.44,0.0002,2
0,3,2,-41.83,0.0001,2
0,3,3,-9.26,0.1617,2
0,3,4,-33.91,0.0006,2
0,3,5,-21.85,0.0094,2
0,3,6,5.14,2.0927,2
0,3,7,5.63,2.2199,2
0,3,8,0.08,1.0127,2
0,3,9,-17.43,0.0259,2
0,3,10,-23.73,0.0061,2
0,3,11,12.55,4.2470,2
0,3,12,-33.15,0.0007,2
0,3,13,-8.51,0.1904,2
0,3,14,-23.43,0.0065,2
0,3,15,1.02,1.1795,2
0,3,16,-30.87,0.0012,2
0,3,17,-21.04,0.0113,2
0,3,18,-29.47,0.0016,2
0,3,19,-20.31,0.0134,2
0,3,20,-7.63,0.2299,2
0,3,21,-31.45,0.0010,2
0,3,22,-300.00,0.0000,2
0,3,23,-17.85,0.0235,2
0,3,24,-34.59,0.0005,2
0,3,25,-20.98,0.0115,2
0,3,26,-8.89,0.1751,2
0,3,27,-25.85,0.0037,2
0,3,28,-23.70,0.0061,2
0,3,29,-9.39,0.1571,2
0,3,30,-1.03,0.8396,2
0,3,31,-15.71,0.0383,2
0,3,32,-23.02,0.0072,2
0,3,33,-22.46,0.0082,2
0,3,34,-23.54,0.0064,2
0,3,35,-9.44,0.1555,2
0,3,36,-42.57,0.0001,2
0,3,37,-54.77,0.0000,2
0,3,38,-59.69,0.0000,2
0,3,39,-44.99,0.0000,2
0,3,40,-29.90,0.0015,2
0,3,41,-39.49,0.0002,2
0,4,0,-41.00,0.0001,2
0,4,1,-46.50,0.0000,2
0,4,2,-45.81,0.0000,2
0,4,3,-30.46,0.0013,2
0,4,4,-22.48,0.0081,2
0,4,5,-18.21,0.0216,2
0,4,6,-32.21,0.0009,2
0,4,7,-8.90,0.1750,2
0,4,8,-22.64,0.0078,2
0,4,9,-16.41,0.0326,2
0,4,10,-33.06,0.0007,2
0,4,11,-1.46,0.7775,2
0,4,12,-47.51,0.0000,2
0,4,13,-59.24,0.0000,2
0,4,14,-24.06,0.0057,2
0,4,15,-64.47,0.0000,2
0,4,16,-34.19,0.0005,2
0,4,17,-41.94,0.0001,2
0,4,18,-21.72,0.0097,2
0,4,19,-14.52,0.0500,2
0,4,20,0.08,1.0126,2
0,4,21,-64.47,0.0000,2
0,4,22,-34.07,0.0006,2
0,4,23,-12.58,0.0775,2
0,4,24,-22.40,0.0083,2
0,4,25,-15.42,0.0408,2
0,4,26,-24.20,0.0055,2
0,4,27,-30.42,0.0013,2
0,4,28,-31.35,0.0011,2
0,4,29,-9.63,0.1490,2
0,4,30,11.02,3.7709,2
0,4,31,-5.11,0.3878,2
0,4,32,-30.08,0.0014,2
0,4,33,-25.22,0.0043,2
0,4,34,-11.27,0.1038,2
0,4,35,14.61,4.9039,2
0,4,36,-26.29,0.0034,2
0,4,37,-45.54,0.0000,2
0,4,38,-37.09,0.0003,2
0,4,39,-44.01,0.0001,2
0,4,40,-64.47,0.0000,2
0,4,41,-26.51,0.0032,2
0,5,0,7.19,2.6402,2
0,5,1,-31.27,0.0011,2
0,5,2,0.22,1.0367,2
0,5,3,-6.63,0.2839,2
0,5,4,-8.24,0.2015,2
0,5,5,-37.77,0.0002,2
0,5,6,-16.31,0.0333,2
0,5,7,4.92,2.0371,2
0,5,8,-8.86,0.1765,2
0,5,9,-14.29,0.0528,2
0,5,10,-6.47,0.2935,2
0,5,11,71.22,23.6595,2
0,5,12,-25.12,0.0044,2
0,5,13,-28.92,0.0019,2
0,5,14,-15.39,0.0411,2
0,5,15,-16.11,0.0349,2
0,5,16,-21.42,0.0104,2
0,5,17,-17.75,0.0240,2
0,5,18,-20.34,0.0133,2
0,5,19,-30.11,0.0014,2
0,5,20,-20.57,0.0126,2
0,5,21,-14.45,0.0508,2
0,5,22,-28.97,0.0018,2
0,5,23,-2.25,0.6740,2
0,5,24,-48.45,0.0000,2
0,5,25,-34.24,0.0005,2
0,5,26,-37.54,0.0003,2
0,5,27,-32.72,0.0008,2
0,5,28,-15.49,0.0402,2
0,5,29,-27.41,0.0026,2
0,5,30,-23.91,0.0059,2
0,5,31,-32.55,0.0008,2
0,5,32,-33.50,0.0006,2
0,5,33,-42.37,0.0001,2
0,5,34,-27.15,0.0028,2
0,5,35,-7.52,0.2351,2
0,5,36,-4.53,0.4354,2
0,5,37,-11.45,0.0999,2
0,5,38,-28.40,0.0021,2
0,5,39,-22.82,0.0075,2
0,5,40,-13.61,0.0615,2
0,5,41,-23.77,0.0060,2
0,6,0,-39.59,0.0002,2
0,6,1,-15.96,0.0361,2
0,6,2,-64.47,0.0000,2
0,6,3,-33.49,0.0006,2
0,6,4,-43.81,0.0001,2
0,6,5,-66.23,0.0000,2
0,6,6,-27.71,0.0024,2
0,6,7,-29.07,0.0018,2
0,6,8,-35.96,0.0004,2
0,6,9,-48.52,0.0000,2
0,6,10,-31.27,0.0011,2
0,6,11,-15.90,0.0366,2
0,6,12,10.60,3.6410,2
0,6,13,-28.96,0.0018,2
0,6,14,13.08,4.4146,2
0,6,15,-21.88,0.0093,2
0,6,16,-21.34,0.0106,2
0,6,17,-13.49,0.0632,2
0,6,18,-3.39,0.5437,2
0,6,19,-6.20,0.3100,2
0,6,20,-7.38,0.2421,2
0,6,21,-28.44,0.0021,2
0,6,22,-29.14,0.0018,2
0,6,23,-6.94,0.2658,2
0,6,24,-35.07,0.0004,2
0,6,25,-32.80,0.0008,2
0,6,26,-50.49,0.0000,2
0,6,27,-52.16,0.0000,2
0,6,28,-22.81,0.0075,2
0,6,29,-14.06,0.0556,2
0,6,30,-5.34,0.3697,2
0,6,31,-39.02,0.0002,2
0,6,32,-10.85,0.1139,2
0,6,33,-19.64,0.0156,2
0,6,34,-45.05,0.0000,2
0,6,35,3.27,1.6436,2
0,6,36,-45.36,0.0000,2
0,6,37,-36.86,0.0003,2
0,6,38,-31.97,0.0009,2
0,6,39,-28.40,0.0021,2
0,6,40,-7.97,0.2138,2
0,6,41,-11.07,0.1086,2
0,7,0,-19.07,0.0178,2
0,7,1,-16.19,0.0343,2
0,7,2,-15.60,0.0392,2
0,7,3,-4.90,0.4041,2
0,7,4,-35.38,0.0004,2
0,7,5,-40.09,0.0001,2
0,7,6,-10.47,0.1239,2
0,7,7,-9.16,0.1653,2
0,7,8,-7.33,0.2449,2
0,7,9,-13.71,0.0602,2
0,7,10,-26.12,0.0035,2
0,7,11,7.16,2.6322,2
0,7,12,-31.81,0.0010,2
0,7,13,-33.83,0.0006,2
0,7,14,22.50,7.4838,2
0,7,15,-6.15,0.3133,2
0,7,16,-28.19,0.0022,2
0,7,17,5.99,2.3143,2
0,7,18,-34.45,0.0005,2
0,7,19,-47.28,0.0000,2
0,7,20,-16.37,0.0329,2
0,7,21,-40.88,0.0001,2
0,7,22,-20.80,0.0119,2
0,7,23,-3.32,0.5514,2
0,7,24,-7.45,0.2388,2
0,7,25,-17.90,0.0232,2
0,7,26,-39.45,0.0002,2
0,7,27,-14.26,0.0531,2
0,7,28,-18.00,0.0227,2
0,7,29,19.59,6.5249,2
0,7,30,-15.66,0.0387,2
0,7,31,-39.99,0.0001,2
0,7,32,-36.07,0.0004,2
0,7,33,-37.74,0.0002,2
